Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Phase Difference
-35,61.16125328246759,46.92993007563877,374.97580388896137,1.24628129002678
-34,60.097789157198655,45.787794484306055,369.7905490017503,1.2464111913800007
-33,58.98041283370511,45.20808826451722,365.4000796190955,1.2429621082026079
-32,58.031190994548346,44.99850156436063,361.9961648269641,1.2366366989040214
-31,56.299316843514625,44.4248051450891,357.2958319682191,1.2407545789790773
-30,55.21902776061975,43.6316703626664,353.0879294191818,1.2370561520770604
-29,53.69691234757992,43.05415421459685,349.6445981644383,1.2259054072238902
-28,52.22000857067308,42.50006292607666,346.54643875065403,1.2317155899633176
-27,50.05511046756062,41.777613285082175,342.09844952561235,1.2178785601614637
-26,48.23635308107163,41.594694971823834,338.49442564111496,1.2096577369881067
-25,46.880480688776295,40.97888111788475,335.97840989445905,1.2011778085503375
-24,44.463254853068655,40.34009578199132,332.3694868647064,1.1980319504329335
-23,42.966217955568105,40.29794409768065,329.93546744579754,1.1902056639092138
-22,41.20957088047678,40.01813014443699,327.44655819628156,1.1744704557446035
-21,39.47356001510294,39.438497991302846,325.0102473959859,1.158435521850623
-20,37.14686406611445,39.184678250252524,322.14165915212266,1.141912414565323
-19,34.898853068705215,39.009563621294625,320.8564323102084,1.1285315907232938
-18,33.88127954702123,38.79370774011539,319.50520688519697,1.1112713713589146
-17,31.704955804059693,38.0593343272569,316.6624429136006,1.0830195603585233
-16,29.679616897328184,38.27645580192865,315.3347341890604,1.0665238343214754
-15,27.837447905468547,38.22972074567709,313.9701857639077,1.0367043024240348
-14,26.307416125364565,37.91503088857778,312.1262099827189,1.0154881475402082
-13,24.49895443570378,37.63288723120803,310.9706219832838,0.9757261892149206
-12,22.994815250018107,37.3307569020286,309.77301239786783,0.9461531172226945
-11,21.411462136588295,37.546578179482516,309.26252077990785,0.9025783035552651
-10,19.50524000604629,36.99727289967808,308.36000730170167,0.8509208242140748
-9,17.475234642687692,37.32836195416143,307.33461609931675,0.7547106552730565
-8,16.17966605887126,36.968142153741525,306.9731595676256,0.7076427361402816
-7,15.125373983377301,37.07869496130167,306.4585355487481,0.5970358561667098
-6,13.364093315066816,36.57795869478456,305.48730018220004,0.4650675340259207
-5,12.432895231827095,36.499314867729936,304.4417174840764,0.3705475709922883
-4,11.915350832053164,36.815542513504944,304.57823895091894,0.24094483361237606
-3,11.41755917906845,36.43932711533161,304.2098762243972,0.0301622633998414
-2,11.477242651024463,36.3877384272979,304.7482836029456,-0.15617065649889558
-1,11.909892615004226,36.42798246632639,304.56030046808655,-0.3408927137618196
0,11.991755919199655,36.2817697561107,304.6020803203176,-0.3332808434676921
1,13.014696298452984,36.22786910980897,305.5361495957066,-0.626726025535906
2,14.1722550462619,36.34769472180435,305.58686466791374,-0.7612735742564735
3,15.68399381333208,36.710143546614404,306.2505049123826,-0.8744735863006202
4,17.03026666614876,36.781045167859055,306.8367210509361,-0.926709566425266
5,18.970692070953643,36.539330907789235,307.35429446693917,-1.0392447450196982
6,20.2333244765659,36.54616279970001,308.1089470436366,-1.0616985330447288
7,21.77181049583363,36.80726758984713,308.86894593953116,-1.1282451338415755
8,23.513495246689832,36.98969886619753,310.1719092243766,-1.1559609228277736
9,24.81778091545534,36.89650729561881,311.25794181804855,-1.186565348575061
10,26.762094045405103,37.14932165633321,312.59241989840365,-1.2385139016081277
11,28.487844090460793,37.493576186932586,314.1851424582186,-1.2689386228412598
12,30.54096407186729,37.61326927773169,315.6228649192612,-1.290993692469404
13,32.096034735463846,37.45759018759566,317.0372343436732,-1.3061772559094647
14,34.36420814213783,37.79593660916675,318.9875740646574,-1.3321767486546663
15,36.43757068884144,38.05945971758164,321.01625759769314,-1.3366635983838904
16,38.37544157397346,38.628990238949406,324.19327915501026,-1.355252808541995
17,40.154815625124726,38.915558216490815,325.9764290549132,-1.3689887375437675
18,42.40260851283479,38.59542217002618,328.39262601947433,-1.3929018163471347
19,44.42343273434617,38.927291588418946,331.0490581259241,-1.402446514908857
20,45.51674618026275,39.99320193991181,334.2504153685952,-1.4086359059628897
21,47.46485283822642,40.43047786194839,337.41110671864135,-1.4148257656491008
22,48.8747136918166,40.47632067124248,339.80164240439075,-1.4258817463374631
23,50.12978175395934,40.587648884434095,342.6475818873709,-1.425341912320927
24,52.39128181138863,41.15173794550684,346.79860036826926,-1.441495898084589
25,53.884558734573126,42.0830836294376,351.65878244159717,-1.4389399331764796
26,54.99755706006584,42.5955526492127,355.12738649789975,-1.4426099447495284
27,56.0681532455415,43.06806243386469,358.36408832522767,-1.4435160967197718
28,57.541806804520924,43.8498095205589,363.87932931285036,-1.4436918718155163
29,58.31399382887131,44.280294268880404,367.3629222892601,-1.4388907287815467
30,58.62940527245373,44.76043410993699,371.6138862181803,-1.4446080082214288
31,58.83987081686791,45.5733685331519,375.33538705258087,-1.4426503039885628
32,59.552355465784636,45.90891737893592,380.87697284604747,-1.4452963852464673
33,59.47822675232202,46.6222175607521,384.63748110074084,-1.432832553649699
34,59.67726116911984,47.68400988854111,389.5546026618622,-1.4396815730108719
35,59.480948088307535,48.323904677950644,395.4195380221775,-1.4303683164097585
