,angle,c_angle,error
0,-35,-35,0
1,-34,-35,-1
2,-33,-35,-2
3,-32,-35,-3
4,-31,-35,-4
5,-30,-35,-5
6,-29,-34,-5
7,-28,-34,-6
8,-27,-30,-3
9,-26,-30,-4
10,-25,-28,-3
11,-24,-26,-2
12,-23,-26,-3
13,-22,-24,-2
14,-21,-24,-3
15,-20,-22,-2
16,-19,-21,-2
17,-18,-20,-2
18,-17,-19,-2
19,-16,-18,-2
20,-15,-17,-2
21,-14,-16,-2
22,-13,-15,-2
23,-12,-14,-2
24,-11,-13,-2
25,-10,-12,-2
26,-9,-11,-2
27,-8,-10,-2
28,-7,-9,-2
29,-6,-8,-2
30,-5,-7,-2
31,-4,-6,-2
32,-3,-5,-2
33,-2,-4,-2
34,-1,-2,-1
35,0,-3,-3
36,1,0,-1
37,2,1,-1
38,3,2,-1
39,4,3,-1
40,5,4,-1
41,6,5,-1
42,7,5,-2
43,8,7,-1
44,9,7,-2
45,10,9,-1
46,11,10,-1
47,12,11,-1
48,13,12,-1
49,14,13,-1
50,15,15,0
51,16,15,-1
52,17,16,-1
53,18,18,0
54,19,18,-1
55,20,22,2
56,21,23,2
57,22,23,1
58,23,26,3
59,24,26,2
60,25,27,2
61,26,28,2
62,27,29,2
63,28,31,3
64,29,31,2
65,30,33,3
66,31,33,2
67,32,34,2
68,33,35,2
69,34,35,1
70,35,35,0
