Index,x,y,z,motor_positions
0,608.3,-173.79999999999998,170.5,-1002
1,603.9,-179.3,179.3,-1002
2,601.7,-171.6,171.6,-1002
3,602.8000000000001,-170.5,169.4,-1002
4,613.8000000000001,-170.5,168.3,-1002
5,613.8000000000001,-178.20000000000002,169.4,-1002
6,598.4,-176.0,166.1,-1002
7,603.9,-173.79999999999998,165.0,-1002
8,602.8000000000001,-166.1,161.7,-1002
9,606.1,-172.7,172.7,-1002
10,607.2,-173.79999999999998,168.3,-1002
11,606.1,-180.40000000000003,173.79999999999998,-1002
12,607.2,-177.10000000000002,166.1,-1002
13,602.8000000000001,-172.7,167.2,-1002
14,605.0000000000001,-174.9,172.7,-1002
15,603.9,-177.10000000000002,176.0,-1002
16,605.0000000000001,-168.3,170.5,-1002
17,611.6,-180.40000000000003,166.1,-1002
18,605.0000000000001,-173.79999999999998,172.7,-1002
19,612.6999999999999,-171.6,169.4,-1002
20,605.0000000000001,-166.1,167.2,-1002
21,603.9,-170.5,171.6,-1002
22,601.7,-172.7,177.10000000000002,-1002
23,603.9,-177.10000000000002,166.1,-1002
24,605.0000000000001,-169.4,166.1,-1002
25,606.1,-171.6,165.0,-1002
26,605.0000000000001,-178.20000000000002,171.6,-1002
27,605.0000000000001,-172.7,167.2,-1002
28,599.5,-178.20000000000002,168.3,-1002
29,601.7,-184.8,171.6,-1002
30,601.7,-174.9,162.8,-1002
31,601.7,-171.6,162.8,-1002
32,608.3,-176.0,170.5,-1002
33,613.8000000000001,-169.4,163.9,-1002
34,601.7,-181.50000000000003,157.3,-1002
35,606.1,-176.0,180.40000000000003,-1002
36,608.3,-171.6,176.0,-1002
37,610.5,-169.4,166.1,-1002
38,609.4000000000001,-171.6,163.9,-1002
39,608.3,-177.10000000000002,172.7,-1002
40,602.8000000000001,-180.40000000000003,168.3,-1002
41,595.1,-173.79999999999998,173.79999999999998,-1002
42,608.3,-177.10000000000002,169.4,-1002
43,601.7,-177.10000000000002,172.7,-1002
44,596.2,-179.3,163.9,-1002
45,610.5,-172.7,166.1,-1002
46,606.1,-171.6,167.2,-1002
47,608.3,-165.0,172.7,-1002
48,592.9000000000001,-177.10000000000002,168.3,-1002
49,601.7,-171.6,165.0,-1002
50,610.5,-172.7,161.7,-1002
51,611.6,-172.7,174.9,-1002
52,605.0000000000001,-170.5,179.3,-1002
53,599.5,-163.9,176.0,-1002
54,608.3,-178.20000000000002,176.0,-1002
55,597.3000000000001,-161.7,168.3,-1002
56,606.1,-172.7,165.0,-1002
57,613.8000000000001,-172.7,166.1,-1002
58,601.7,-178.20000000000002,168.3,-1002
59,602.8000000000001,-192.50000000000003,176.0,-1002
60,603.9,-174.9,172.7,-1002
61,610.5,-166.1,165.0,-1002
62,605.0000000000001,-177.10000000000002,165.0,-1002
63,609.4000000000001,-174.9,172.7,-1002
64,606.1,-178.20000000000002,169.4,-1002
65,600.6,-167.2,169.4,-1002
66,598.4,-170.5,176.0,-1002
67,610.5,-173.79999999999998,180.40000000000003,-1002
68,610.5,-177.10000000000002,180.40000000000003,-1002
69,608.3,-159.5,173.79999999999998,-1002
70,602.8000000000001,-179.3,158.4,-1002
71,600.6,-168.3,166.1,-1002
72,611.6,-173.79999999999998,165.0,-1002
73,599.5,-176.0,165.0,-1002
74,599.5,-173.79999999999998,174.9,-1002
75,608.3,-178.20000000000002,178.20000000000002,-1002
76,606.1,-171.6,165.0,-1002
77,599.5,-168.3,168.3,-1002
78,605.0000000000001,-163.9,165.0,-1002
79,602.8000000000001,-178.20000000000002,171.6,-1002
80,597.3000000000001,-179.3,169.4,-1002
81,603.9,-176.0,174.9,-1002
82,600.6,-177.10000000000002,169.4,-1002
83,610.5,-165.0,163.9,-1002
84,600.6,-178.20000000000002,168.3,-1002
85,601.7,-169.4,169.4,-1002
86,602.8000000000001,-176.0,167.2,-1002
87,606.1,-161.7,174.9,-1002
88,611.6,-177.10000000000002,161.7,-1002
89,607.2,-180.40000000000003,176.0,-1002
90,607.2,-181.50000000000003,166.1,-1002
91,605.0000000000001,-173.79999999999998,173.79999999999998,-1002
92,602.8000000000001,-178.20000000000002,170.5,-1002
93,598.4,-173.79999999999998,163.9,-1002
94,605.0000000000001,-167.2,169.4,-1002
95,605.0000000000001,-173.79999999999998,161.7,-1002
96,612.6999999999999,-181.50000000000003,177.10000000000002,-1002
97,612.6999999999999,-173.79999999999998,166.1,-1002
98,600.6,-172.7,176.0,-1002
99,602.8000000000001,-173.79999999999998,167.2,-1002
100,610.5,-181.50000000000003,166.1,-1002
101,597.3000000000001,-173.79999999999998,174.9,-1002
102,599.5,-177.10000000000002,174.9,-1002
103,603.9,-179.3,158.4,-1002
104,605.0000000000001,-182.60000000000002,161.7,-1002
105,603.9,-178.20000000000002,172.7,-1002
106,607.2,-180.40000000000003,168.3,-1002
107,602.8000000000001,-176.0,178.20000000000002,-1002
108,608.3,-169.4,177.10000000000002,-1002
109,614.9000000000001,-182.60000000000002,173.79999999999998,-1002
110,607.2,-182.60000000000002,162.8,-1002
111,606.1,-166.1,167.2,-1002
112,602.8000000000001,-182.60000000000002,176.0,-1002
113,606.1,-181.50000000000003,165.0,-1002
114,618.2,-173.79999999999998,167.2,-1002
115,603.9,-171.6,172.7,-1002
116,608.3,-171.6,169.4,-1002
117,608.3,-169.4,165.0,-1002
118,608.3,-177.10000000000002,168.3,-1002
119,612.6999999999999,-180.40000000000003,178.20000000000002,-1002
120,607.2,-173.79999999999998,182.60000000000002,-1002
121,598.4,-174.9,166.1,-1002
122,599.5,-179.3,163.9,-1002
123,601.7,-178.20000000000002,170.5,-1002
124,605.0000000000001,-177.10000000000002,165.0,-1002
125,603.9,-183.70000000000002,170.5,-1002
126,610.5,-168.3,165.0,-1002
127,609.4000000000001,-179.3,170.5,-1002
128,600.6,-172.7,161.7,-1002
129,617.1,-172.7,166.1,-1002
130,614.9000000000001,-182.60000000000002,176.0,-1002
131,601.7,-178.20000000000002,162.8,-1002
132,599.5,-182.60000000000002,168.3,-1002
133,600.6,-170.5,166.1,-1002
134,609.4000000000001,-171.6,167.2,-1002
135,595.1,-181.50000000000003,173.79999999999998,-1002
136,606.1,-176.0,179.3,-1002
137,610.5,-179.3,159.5,-1002
138,611.6,-172.7,159.5,-1002
139,600.6,-162.8,173.79999999999998,-1002
140,603.9,-181.50000000000003,172.7,-1002
141,612.6999999999999,-167.2,176.0,-1002
142,611.6,-176.0,172.7,-1002
143,599.5,-166.1,171.6,-1002
144,610.5,-170.5,167.2,-1002
145,603.9,-170.5,165.0,-1002
146,602.8000000000001,-177.10000000000002,178.20000000000002,-1002
147,606.1,-177.10000000000002,182.60000000000002,-1002
148,598.4,-182.60000000000002,169.4,-1002
149,603.9,-190.3,166.1,-1002
150,608.3,-173.79999999999998,176.0,-1002
151,600.6,-181.50000000000003,169.4,-1002
152,606.1,-180.40000000000003,168.3,-1002
153,602.8000000000001,-171.6,173.79999999999998,-1002
154,606.1,-180.40000000000003,184.8,-1002
155,602.8000000000001,-182.60000000000002,163.9,-1002
156,612.6999999999999,-181.50000000000003,170.5,-1002
157,605.0000000000001,-174.9,173.79999999999998,-1002
158,612.6999999999999,-174.9,168.3,-1002
159,612.6999999999999,-178.20000000000002,181.50000000000003,-1002
160,606.1,-181.50000000000003,168.3,-1002
161,602.8000000000001,-170.5,173.79999999999998,-1002
162,600.6,-180.40000000000003,169.4,-1002
163,612.6999999999999,-169.4,172.7,-1002
164,618.2,-176.0,173.79999999999998,-1002
165,609.4000000000001,-172.7,176.0,-1002
166,607.2,-171.6,173.79999999999998,-1002
167,616.0,-169.4,178.20000000000002,-1002
168,603.9,-168.3,169.4,-1002
169,608.3,-182.60000000000002,165.0,-1002
170,607.2,-178.20000000000002,168.3,-1002
171,603.9,-180.40000000000003,168.3,-1002
172,598.4,-160.6,167.2,-1002
173,605.0000000000001,-176.0,176.0,-1002
174,605.0000000000001,-165.0,172.7,-1002
175,601.7,-176.0,158.4,-1002
176,601.7,-162.8,172.7,-1002
177,606.1,-178.20000000000002,172.7,-1002
178,612.6999999999999,-173.79999999999998,167.2,-1002
179,600.6,-178.20000000000002,163.9,-1002
180,602.8000000000001,-178.20000000000002,168.3,-1002
181,617.1,-177.10000000000002,168.3,-1002
182,605.0000000000001,-179.3,177.10000000000002,-1002
183,601.7,-180.40000000000003,171.6,-1002
184,609.4000000000001,-172.7,168.3,-1002
185,609.4000000000001,-181.50000000000003,169.4,-1002
186,592.9000000000001,-174.9,169.4,-1002
187,603.9,-169.4,168.3,-1002
188,595.1,-173.79999999999998,174.9,-1002
189,605.0000000000001,-179.3,174.9,-1002
190,608.3,-170.5,171.6,-1002
191,610.5,-174.9,177.10000000000002,-1002
192,602.8000000000001,-177.10000000000002,174.9,-1002
193,599.5,-188.10000000000002,159.5,-1002
194,603.9,-172.7,172.7,-1002
195,608.3,-179.3,170.5,-1002
196,603.9,-178.20000000000002,166.1,-1002
197,605.0000000000001,-173.79999999999998,172.7,-1002
198,600.6,-179.3,176.0,-1002
199,612.6999999999999,-178.20000000000002,177.10000000000002,-1002
200,605.0000000000001,-165.0,169.4,-1002
201,602.8000000000001,-179.3,171.6,-1002
202,598.4,-179.3,172.7,-1002
203,616.0,-180.40000000000003,172.7,-1002
204,608.3,-174.9,167.2,-1002
205,609.4000000000001,-171.6,174.9,-1002
206,601.7,-180.40000000000003,166.1,-1002
207,616.0,-177.10000000000002,166.1,-1002
208,627.0000000000001,-170.5,173.79999999999998,-1002
209,607.2,-168.3,180.40000000000003,-1002
210,595.1,-182.60000000000002,174.9,-1002
211,611.6,-171.6,180.40000000000003,-1002
212,610.5,-184.8,169.4,-1002
213,600.6,-174.9,166.1,-1002
214,606.1,-173.79999999999998,161.7,-1002
215,612.6999999999999,-172.7,162.8,-1002
216,595.1,-177.10000000000002,161.7,-1002
217,614.9000000000001,-170.5,157.3,-1002
218,601.7,-165.0,173.79999999999998,-1002
219,600.6,-167.2,173.79999999999998,-1002
220,602.8000000000001,-172.7,170.5,-1002
221,609.4000000000001,-182.60000000000002,173.79999999999998,-1002
222,597.3000000000001,-182.60000000000002,169.4,-1002
223,606.1,-178.20000000000002,177.10000000000002,-1002
224,596.2,-172.7,162.8,-1002
