Index,x,y,z,motor_positions
0,17.6,-3.3000000000000003,-29.7,-40092
1,15.400000000000002,13.200000000000001,-37.4,-40092
2,30.800000000000004,11.0,-31.900000000000002,-40092
3,13.200000000000001,7.700000000000001,-19.8,-40092
4,12.100000000000001,1.1,-26.400000000000002,-40092
5,11.0,11.0,-33.0,-40092
6,16.5,3.3000000000000003,-29.7,-40092
7,8.8,3.3000000000000003,-24.200000000000003,-40092
8,16.5,7.700000000000001,-36.300000000000004,-40092
9,22.0,11.0,-35.2,-40092
10,8.8,12.100000000000001,-27.5,-40092
11,4.4,6.6000000000000005,-31.900000000000002,-40092
12,19.8,8.8,-24.200000000000003,-40092
13,18.7,4.4,-28.6,-40092
14,22.0,6.6000000000000005,-25.3,-40092
15,12.100000000000001,13.200000000000001,-34.1,-40092
16,13.200000000000001,6.6000000000000005,-24.200000000000003,-40092
17,20.9,14.3,-38.5,-40092
18,19.8,6.6000000000000005,-33.0,-40092
19,9.9,11.0,-18.7,-40092
20,12.100000000000001,2.2,-31.900000000000002,-40092
21,11.0,1.1,-35.2,-40092
22,20.9,9.9,-35.2,-40092
23,20.9,11.0,-26.400000000000002,-40092
24,30.800000000000004,6.6000000000000005,-28.6,-40092
25,17.6,11.0,-19.8,-40092
26,13.200000000000001,7.700000000000001,-27.5,-40092
27,8.8,8.8,-28.6,-40092
28,23.1,-3.3000000000000003,-29.7,-40092
29,14.3,4.4,-33.0,-40092
30,23.1,7.700000000000001,-23.1,-40092
31,17.6,0.0,-24.200000000000003,-40092
32,14.3,4.4,-27.5,-40092
33,18.7,3.3000000000000003,-24.200000000000003,-40092
34,20.9,8.8,-28.6,-40092
35,20.9,5.5,-35.2,-40092
36,18.7,5.5,-30.800000000000004,-40092
37,18.7,6.6000000000000005,-28.6,-40092
38,12.100000000000001,2.2,-24.200000000000003,-40092
39,17.6,11.0,-31.900000000000002,-40092
40,17.6,5.5,-31.900000000000002,-40092
41,18.7,3.3000000000000003,-27.5,-40092
