Index,x,y,z,motor_positions
0,-26.400000000000002,-9.9,-23.1,-1001
1,-17.6,-9.9,-22.0,-1001
2,-25.3,-8.8,-22.0,-1001
3,-22.0,-11.0,-28.6,-1001
4,-25.3,-12.100000000000001,-23.1,-1001
5,-23.1,-14.3,-14.3,-1001
6,-25.3,0.0,-24.200000000000003,-1001
7,-22.0,-8.8,-18.7,-1001
8,-26.400000000000002,-4.4,-19.8,-1001
9,-26.400000000000002,-6.6000000000000005,-23.1,-1001
10,-26.400000000000002,-8.8,-22.0,-1001
11,-31.900000000000002,-5.5,-23.1,-1001
12,-28.6,-12.100000000000001,-14.3,-1001
13,-25.3,-5.5,-17.6,-1001
14,-25.3,-3.3000000000000003,-23.1,-1001
15,-26.400000000000002,-9.9,-29.7,-1001
16,-18.7,-16.5,-26.400000000000002,-1001
17,-25.3,-7.700000000000001,-29.7,-1001
18,-22.0,-8.8,-23.1,-1001
19,-25.3,-8.8,-26.400000000000002,-1001
20,-28.6,-18.7,-16.5,-1001
21,-30.800000000000004,-6.6000000000000005,-33.0,-1001
22,-19.8,-13.200000000000001,-28.6,-1001
23,-24.200000000000003,-13.200000000000001,-16.5,-1001
24,-17.6,-7.700000000000001,-24.200000000000003,-1001
25,-31.900000000000002,-2.2,-28.6,-1001
26,-24.200000000000003,-3.3000000000000003,-20.9,-1001
27,-19.8,-13.200000000000001,-16.5,-1001
28,-16.5,-9.9,-26.400000000000002,-1001
29,-26.400000000000002,-14.3,-13.200000000000001,-1001
30,-22.0,-18.7,-15.400000000000002,-1001
31,-23.1,-3.3000000000000003,-17.6,-1001
32,-14.3,-6.6000000000000005,-16.5,-1001
33,-23.1,-11.0,-11.0,-1001
34,-25.3,-13.200000000000001,-7.700000000000001,-1001
35,-19.8,0.0,-36.300000000000004,-1001
36,-11.0,-9.9,-16.5,-1001
37,-27.5,-3.3000000000000003,-25.3,-1001
38,-20.9,2.2,-18.7,-1001
39,-26.400000000000002,-9.9,-16.5,-1001
40,-16.5,-11.0,-24.200000000000003,-1001
41,-20.9,-5.5,-22.0,-1001
42,-26.400000000000002,-3.3000000000000003,-6.6000000000000005,-1001
43,-24.200000000000003,-9.9,-19.8,-1001
44,-29.7,-3.3000000000000003,-18.7,-1001
45,-33.0,-3.3000000000000003,-22.0,-1001
46,-26.400000000000002,-7.700000000000001,-26.400000000000002,-1001
47,-23.1,-2.2,-19.8,-1001
48,-25.3,-6.6000000000000005,-17.6,-1001
49,-26.400000000000002,-15.400000000000002,-20.9,-1001
50,-20.9,-9.9,-19.8,-1001
51,-24.200000000000003,-1.1,-31.900000000000002,-1001
52,-12.100000000000001,-8.8,-13.200000000000001,-1001
53,-26.400000000000002,-4.4,-29.7,-1001
54,-31.900000000000002,-13.200000000000001,-18.7,-1001
55,-33.0,-20.9,-20.9,-1001
56,-26.400000000000002,-9.9,-15.400000000000002,-1001
57,-20.9,-9.9,-16.5,-1001
58,-18.7,0.0,-15.400000000000002,-1001
59,-24.200000000000003,-13.200000000000001,-23.1,-1001
