Iteration,Bxs_100Hz,Bys_100Hz,Bzs_100Hz
0,1144.378224583407,1998.5831604805796,30895.54907984895
1,1212.8886120913974,2084.5579729265833,31080.633265748194
2,1053.2136403099014,2026.9775575663853,31243.470071049363
3,1082.9905462688093,2183.5608567819622,31428.992568197657
4,1209.9522056463472,2141.252358490061,31806.196876163976
5,1161.8332899026395,2292.697426943246,31956.360656225042
6,1054.8249485754511,2192.228825590347,32262.367517812883
7,1169.449110600439,2210.3092431466494,32400.94739517355
8,1195.2729879694689,2284.876531412439,32469.80381124028
9,1113.3553240399863,2242.703136962384,32762.820913909156
10,1133.010649102287,2394.4882504061325,33024.66529700952
11,1130.8888066287398,2361.508597804718,33216.36974154263
12,1215.5210176508756,2451.554935192528,33412.47938787212
13,1218.970612868562,2303.596270192815,33599.6683831119
14,1246.655857919443,2270.950600061617,33708.16171700259
15,1266.0692555077842,2365.8231677929666,33859.829904332306
16,1175.9993811572783,2207.514662756635,31907.526025180036
17,1201.4855152099906,2378.287384111079,34296.987963170715
18,1282.8072466730523,2258.8597178948107,32103.853875903915
19,1123.3850891255631,2410.0374439642515,34664.714233591076
20,1183.0440091128248,2296.908884570352,32278.32106606001
21,1354.6825258871886,2383.8724919134547,34946.74755919304
22,1262.6413490967832,2386.4382203493037,34995.647792728145
23,1245.547055408111,2322.842781735377,32761.469529258906
24,1238.2389267439387,2488.4425155540835,35243.766726183676
25,1364.4639988650758,2458.4904917671065,35509.12219675854
26,1336.400841764856,2552.3024262948734,35517.15145904953
27,1180.0447530094686,2419.4563757697965,33373.81667734873
28,1253.6056157090086,2381.980786481842,33405.34279854205
29,1420.5560711009248,2514.897814129315,35861.1498685051
30,1374.6374491071178,2480.269493490429,36031.20320064036
31,1310.0186054495887,2508.0070321240655,36064.05795271771
32,1391.0168829068846,2469.6747731251753,36292.89033192741
33,1400.6895465602192,2648.438400734124,36356.76763469259
34,1327.4034022434892,2651.4386871999263,36496.99837133229
35,1325.7105784205098,2626.948211137847,36465.20776143233
