Iteration,Bxs_100Hz,Bys_100Hz,Bzs_100Hz
0,3104.046122970412,6837.010484653638,71342.87512573673
1,3040.414832339282,7169.45263195324,72849.75539210782
2,3249.066066229297,7057.3682196242835,74360.14709074656
3,3343.6574579852827,7162.5842255726575,75204.7250743846
4,3392.2549497378536,7389.155498070542,76383.45007675268
5,3351.7077852599523,7405.743391436559,77188.9881976854
6,3616.8155572187143,7542.04742794007,78058.28233610012
7,3498.269809152837,7537.9400621381765,78806.92296148851
8,3741.2514173403697,7650.3829778050285,79653.75196020653
9,3652.639773954116,7757.716954240458,80392.0068590638
10,3573.890355067056,7876.446660568511,81116.44139582744
11,3729.586724605371,7693.376766508793,81624.41046858428
12,3671.3448147187764,8010.04222233686,82244.39870455126
13,3785.5295634077106,7956.192133098165,82934.44150208618
14,3796.4284240611864,8007.852098594882,83482.51065029712
15,3746.8471903055956,8015.798051991141,84044.74961867338
16,3885.504767774046,8115.9320011992895,84602.16080358991
17,3866.634491289917,8018.797184312437,85060.62092718024
18,3820.3816071888036,8156.997709365711,85590.60687210284
19,3729.3330904844115,8196.112463202655,86026.8566254394
20,3861.1929708039474,8298.877638168637,86435.16315489689
21,3944.7810826822406,8273.92961840553,86916.58530754647
22,3931.1322063567573,8353.640566604287,87064.96576804169
23,3809.5504566558584,8445.50479799463,87620.2775330411
24,3800.3583188473103,8565.984616240936,88072.11353283862
25,3708.7789659149807,8475.887779922787,88345.94099571544
26,3881.990650640448,8524.863812158954,88583.83704782833
27,3890.380541967881,8555.92807404205,89000.30359317381
28,4056.4132139635535,8563.98719281929,89344.10491321624
29,3997.2098734486685,8659.2912399473,89396.94943087413
30,4044.7901713473234,8716.078012938822,89603.64457366735
31,3807.086514408285,8652.03293093459,89777.8558492165
32,3939.5023057433077,8676.431524819514,90007.9792298572
33,3950.4600554177277,8726.403381009279,90212.14337750983
34,4003.181637710985,8923.522931960477,90306.3055630553
35,4095.4788038199817,8777.671753129576,90701.62086805726
36,4182.999928015371,8825.677162984466,90839.67735143409
37,4078.6644866169463,8801.551790334284,90848.83920019884
38,4136.670293916873,8740.141447889704,91116.11653100366
39,4112.079975072814,8938.922287117692,91232.60055738018
40,4140.208531289759,8809.19834456375,91348.91504345064
41,4114.093181629072,8849.392352503812,91423.1656621532
42,4109.981351820507,8827.303455648036,91624.72266655174
43,4055.051677584996,8782.56047756539,91628.69567054907
44,4112.000302753206,8985.524646936905,91772.36875597606
45,4258.006189765523,8970.094812548863,91772.14929151359
46,4252.789685352162,8803.557594961532,92176.64358536106
47,4320.686925674051,8912.043305484684,92116.043588815
48,4203.680847145863,8766.277534353063,92193.26411589012
49,4108.629503631162,8939.96401979589,92316.22817476599
50,4328.45792412748,9082.84902677932,92577.02157366849
51,4342.107826392715,9001.490171295502,92413.50208887256
52,4234.810059072745,8854.488855256794,92603.56245350555
53,4365.421763878288,9035.356235071775,92658.87839616141
