Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz
-35,6889.66736088685,9436.42453486455,64536.397634451365
-34,6826.534685745271,9178.856746494424,64215.48693639696
-33,6850.942901248632,9194.680354025091,64080.323035432135
-32,6418.207078010927,8560.240940167248,59917.01063950728
-31,6342.835984493873,8501.134963804136,59675.851909372446
-30,6315.306949653116,8544.600816516115,59532.56690991956
-29,6702.338699854597,9041.862565016516,63283.81133078903
-28,6630.888792809855,9103.49425506792,63262.8360853332
-27,5977.230493461003,8109.904850882526,58999.78853657566
-26,6232.833481504102,9143.355611090572,62796.58786980354
-25,6208.832650790149,8903.603634203933,62642.20825482723
-24,5896.438104870283,8766.365886673399,62435.80794070821
-23,5890.692994983198,8708.52463446052,62189.22656916807
-22,5666.889116323764,8818.882075556174,62305.87531841057
-21,5663.9156702350565,8859.060430201778,62246.78982142855
-20,5383.975351823299,8796.986015747243,62014.314539316045
-19,5407.830732268159,8660.621292910095,62069.74026642669
-18,5046.080400847678,8772.941597684607,62009.82083841475
-17,4913.249347690227,8822.090213046284,61848.67082843809
-16,4692.1909627380965,8784.658642747754,61940.46430552838
-15,4613.367526178084,8615.669061869288,62062.71661315808
-14,4281.448186749409,8623.146935205532,62151.68012082843
-13,3758.961481515326,8213.48329497176,58173.48680051728
-12,3784.166969120069,8133.94281201822,58039.18197785436
-11,3733.693880081326,8678.252430474859,62305.23940997724
-10,3428.325059194436,8290.369925511113,58223.4727047272
-9,3446.423159254971,8659.874356633249,62182.24517041044
-8,3069.458434549239,8155.640750829168,58121.87604343126
-7,2963.9503167478647,8711.290581643221,62530.89440789414
-6,2915.154466665673,8774.541775227945,62537.76791949028
-5,2788.168486923837,8562.051866892514,62582.74751018762
-4,2538.4832047252403,8792.973295201762,62746.88432224127
-3,2422.940112369241,8606.362583211418,62893.579381568845
-2,2354.120857025039,8729.557578076807,63088.65513146154
-1,2323.360855379961,8848.039361054045,63048.99537682102
0,2456.154073003312,8761.578268698302,63118.57609317768
1,2425.995885280536,8823.824677203143,63648.16940192831
2,2202.325731360396,8313.070560443155,59877.18791900703
3,2445.892594441381,8241.79708203612,60328.604135362
4,2700.0575368931936,8724.015991544951,64336.16971994812
5,3066.819795924768,8845.569364082005,64832.6674089258
6,3002.366101081945,8854.20397605771,65075.304978022345
7,3359.937794281794,8970.615869941386,65402.83521995645
8,3692.4461687477024,9039.394235222127,65945.87699360102
9,3794.885391947754,9027.345224598765,66135.02364003698
10,4222.950406744326,9113.27441421108,66764.37709672679
11,4588.088636824476,9196.480215800471,67482.3562400624
12,4798.078377690402,9207.483564954024,67756.02071972814
13,5153.858159373983,9332.272461095425,68319.7365756284
14,5375.156579069833,9331.954663061932,68919.0990642291
15,5695.311932234606,9407.08323891256,69505.29703292962
16,6228.67405825195,9547.807205066045,70154.22055190179
17,6385.322124154698,9743.680827961698,70975.76437209606
18,6532.231471750935,9187.518208419251,67092.05653140182
19,7163.345908900827,9764.701303638112,72404.37341894265
20,7670.366020390628,9879.633136732858,73188.46354726766
21,7893.471501596399,10033.988768126792,73927.88170121064
22,8352.259014100531,10177.36611468365,74678.09018788178
23,8602.476709300223,10322.845003970542,75610.81741434096
24,9039.062495375583,10301.150056907936,76663.66885906633
25,9555.610682976145,10513.118912995424,77935.00400774134
26,9887.028027174416,10788.718007334088,78736.37686776026
27,9998.979723840275,10805.728930312876,80028.24562936382
28,10556.852890467602,11089.109501719542,81661.63356321248
29,10708.103823047026,11243.002259592926,82665.86297058532
30,10951.316146456911,11493.322761990448,83639.34232022817
31,11327.433005023477,11520.163805255512,85007.47311840387
32,11285.134831325988,11841.275661840396,86438.49685535913
33,11593.065861155095,12228.441008102443,87875.26162359388
34,10867.686290450556,11553.0801552001,83575.3502316278
35,10843.385830499026,11798.987250116978,85619.23027746439
