Index,angle,c_angle,error,by,bz
0,-35,-17.69269269269269,17.30730730730731,10822.96652600196,75582.61684156468
1,-34,-17.06206206206206,16.93793793793794,10761.168405597067,74985.98668019143
2,-33,-9.004004004004003,23.995995995995997,10619.737739987811,74575.98214888548
3,-32,-9.004004004004003,22.995995995995997,10585.56796897954,74141.21277307738
4,-31,-9.004004004004003,21.995995995995997,10498.17846885154,74062.12445294576
5,-30,-9.004004004004003,20.995995995995997,10420.060768871104,73618.68443298002
6,-29,-9.004004004004003,19.995995995995997,9928.955735204943,68772.46834017051
7,-28,-9.004004004004003,18.995995995995997,10396.474042512316,73267.91264961353
8,-27,-9.004004004004003,17.995995995995997,10157.106593720717,72668.04369966197
9,-26,-9.004004004004003,16.995995995995997,10189.395919148848,72485.37857823988
10,-25,-9.004004004004003,15.995995995995997,10131.375663190893,72471.97194846476
11,-24,-9.004004004004003,14.995995995995997,10164.61669604217,72203.47808529364
12,-23,-9.004004004004003,13.995995995995997,10149.246153803337,72110.57348879783
13,-22,-9.004004004004003,12.995995995995997,10070.52040582699,71897.31358518105
14,-21,-9.004004004004003,11.995995995995997,9966.837165538109,71700.33344812236
15,-20,-9.004004004004003,10.995995995995997,9965.610723692016,71463.50718657704
16,-19,-9.004004004004003,9.995995995995997,10126.621774243857,71354.39227525807
17,-18,-9.004004004004003,8.995995995995997,9918.099559389737,71237.75413891119
18,-17,-9.004004004004003,7.995995995995997,9841.435822548512,71116.0874620302
19,-16,-9.004004004004003,6.995995995995997,9722.52905213767,71021.18901320119
20,-15,-9.004004004004003,5.995995995995997,9855.471586721176,70888.00164818206
21,-14,-9.004004004004003,4.995995995995997,9732.835566400618,70828.74807119004
22,-13,-9.004004004004003,3.9959959959959974,9764.298183585146,70793.15497749206
23,-12,-9.004004004004003,2.9959959959959974,9061.359347801896,66337.7332546827
24,-11,-9.004004004004003,1.9959959959959974,9829.41575593117,70770.70463160517
25,-10,-9.004004004004003,0.9959959959959974,9757.524997339371,70681.03170040048
26,-9,-9.004004004004003,-0.0040040040040025815,9664.02627757002,70836.23125619217
27,-8,-9.004004004004003,-1.0040040040040026,9656.378625033503,70667.56661529894
28,-7,-9.004004004004003,-2.0040040040040026,9694.981407543304,70897.24274322619
29,-6,2.9779779779779787,8.977977977977979,9569.42945234256,70963.85310197608
30,-5,2.9779779779779787,7.977977977977979,9583.541306127192,71249.4087930878
31,-4,2.9779779779779787,6.977977977977979,9555.00620604943,71322.78465438585
32,-3,2.9779779779779787,5.977977977977979,9584.71493436627,71423.08847601472
33,-2,2.9779779779779787,4.977977977977979,9615.43680963982,71776.03953476496
34,-1,2.9779779779779787,3.9779779779779787,9755.538927968157,72059.09225697981
35,0,2.9779779779779787,2.9779779779779787,9715.016213606052,72043.90862188971
36,1,2.9779779779779787,1.9779779779779787,9643.997261539216,72579.0456301047
37,2,2.9779779779779787,0.9779779779779787,9673.941032672588,72787.80442944498
38,3,2.9779779779779787,-0.022022022022021304,9827.32741774728,73116.80943639924
39,4,2.9779779779779787,-1.0220220220220213,9889.98947999856,73335.69474504916
40,5,2.9779779779779787,-2.0220220220220213,9122.226383310604,69212.28364842167
41,6,-9.004004004004003,-15.004004004004003,9890.781216854566,74134.32808701995
42,7,-9.004004004004003,-16.004004004004003,9134.956015325586,69813.78908230613
43,8,-8.863863863863862,-16.863863863863862,9862.74722945094,75163.52563123981
44,9,-8.723723723723722,-17.723723723723722,9926.8749092919,75539.0559955834
45,10,-8.583583583583582,-18.583583583583582,10057.815354888791,76187.44009190683
46,11,-9.494494494494493,-20.494494494494493,10117.760024739808,76761.14641782938
47,12,-9.564564564564563,-21.564564564564563,10262.850285077877,77418.64845893013
48,13,-9.004004004004003,-22.004004004004003,9514.57853073288,72791.82421709436
49,14,-9.004004004004003,-23.004004004004003,9556.536247364866,73705.04980023215
50,15,-11.456456456456454,-26.456456456456454,10363.750660507434,79304.44966019344
51,16,-9.144144144144143,-25.144144144144143,9649.888320079015,75151.80147706605
52,17,-15.66066066066066,-32.66066066066066,10550.491149594563,81016.57261867596
53,18,-16.64164164164164,-34.64164164164164,10662.431846437135,82109.3764516883
54,19,-17.48248248248248,-36.48248248248248,10843.81713458093,83265.79674238087
55,20,-19.584584584584583,-39.58458458458458,11037.647675259825,84369.90446036951
56,21,16.851851851851855,-4.148148148148145,11083.945889842693,85477.987072443
57,22,16.571571571571575,-5.428428428428425,11451.59123707462,86512.98224091825
58,23,16.431431431431434,-6.5685685685685655,11430.919286007227,87630.1947313579
59,24,17.48248248248248,-6.517517517517518,11398.289892689734,89066.72868397608
60,25,17.692692692692695,-7.307307307307305,11778.787403135835,90715.3030938335
61,26,18.253253253253256,-7.746746746746744,12033.73894084353,92217.0499781856
62,27,18.113113113113116,-8.886886886886884,12292.365697837162,93575.1170315052
63,28,20.84584584584585,-7.154154154154149,12540.648176215964,95674.95696514127
64,29,21.12612612612613,-7.873873873873869,12692.141662649972,96907.53139780086
65,30,21.476476476476478,-8.523523523523522,13046.657873920536,98554.54802057598
66,31,23.788788788788793,-7.211211211211207,13257.040428824535,100343.63470047864
67,32,24.6996996996997,-7.3003003003003,13698.91548797246,102375.6748573286
68,33,25.96096096096096,-7.039039039039039,13772.87106151366,104686.72080099097
69,34,26.871871871871875,-7.128128128128125,14221.163310621558,106710.0611796478
70,35,28.06306306306307,-6.936936936936931,14603.21676194916,109878.2433422034
