Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz
-35,292.2604666666667,-387.5872,2783.726
-34,296.5409333333334,-383.82006666666666,2755.6378666666665
-33,299.00640000000004,-380.47093333333333,2730.010066666667
-32,299.96340000000004,-377.5867333333333,2705.7257333333337
-31,299.35304916499666,-375.423279492318,2678.732976619907
-30,297.5814716098864,-372.81391342685373,2653.1669779559124
-29,293.95959999999997,-370.03340000000003,2626.8088000000002
-28,289.13206666666673,-367.0282,2605.6374666666666
-27,280.9766975283901,-364.0790316633267,2574.4666953907818
-26,272.5946666666667,-361.3962000000001,2551.7880666666665
-25,265.83846666666665,-360.00140000000005,2535.3716666666664
-24,254.1154,-357.76033333333334,2510.5549333333333
-23,244.1582,-355.12986666666666,2491.1238
-22,231.54486666666665,-351.8144666666667,2469.8468666666668
-21,221.0677333333333,-348.8562,2453.283066666667
-20,205.69853333333336,-346.43913333333336,2433.4552000000003
-19,194.61786666666669,-344.685,2420.855066666667
-18,181.74566666666666,-343.40973333333335,2406.736933333334
-17,164.67440000000002,-341.4913333333334,2390.125466666667
-16,151.27346666666668,-339.5142666666667,2378.5644666666667
-15,134.77449832999335,-337.08767107548437,2365.047022979292
-14,119.55824903139613,-334.23029726118915,2352.5154849699397
-13,103.85393333333333,-333.51413333333335,2342.8086
-12,88.71767174348697,-332.5064936539746,2333.9288503674015
-11,75.71446666666667,-331.276,2327.2964
-10,56.61553333333334,-330.22880000000004,2318.7032
-9,35.83219946559786,-328.63033907815634,2309.8009213092855
-8,22.736266666666666,-328.4028,2305.336
-7,4.488,-327.62253333333337,2299.8631333333337
-6,-19.844733333333334,-327.43846666666667,2294.2810000000004
-5,-34.01143861055444,-326.7538507682031,2291.2551402805616
-4,-51.03693440213761,-325.811296993988,2288.563192651971
-3,-74.6108,-325.1453333333333,2286.476133333333
-2,-94.67040000000001,-324.4692,2285.758933333333
-1,-114.91357287909152,-323.26895818303274,2285.5740716098867
0,-117.83933333333333,-322.8074666666667,2285.533066666667
1,-158.05093333333335,-322.4173333333334,2288.711333333333
2,-182.09400000000002,-321.7529333333334,2291.291933333334
3,-208.89347120908485,-321.7358124248497,2295.1299707414832
4,-224.2218,-321.68326666666667,2298.0371333333333
5,-251.81933333333336,-319.87193333333335,2303.7417333333337
6,-269.0783333333333,-319.9306,2307.981133333333
7,-292.2472666666667,-319.89906666666667,2315.2125333333333
8,-321.3526523714095,-320.2252030728123,2325.190047695391
9,-340.75066666666675,-319.5984,2332.869
10,-370.7975333333333,-319.41580000000005,2344.2745333333337
11,-402.7738000000001,-320.1205333333333,2358.6845333333335
12,-428.21574776219103,-320.6125191716767,2369.5160062792256
13,-454.32126666666665,-320.4336666666667,2381.7478666666666
14,-484.08286666666663,-321.48013333333336,2397.4250666666667
15,-515.9850666666667,-321.8042666666667,2414.8718000000003
16,-551.7974,-321.63633333333337,2436.5660000000003
17,-585.6106666666667,-322.3095333333334,2457.944133333334
18,-623.073,-323.8143333333333,2480.6151333333332
19,-660.5595333333334,-324.09740000000005,2506.4284666666667
20,-698.5168666666667,-324.58213333333333,2532.5813333333335
21,-740.3098140280562,-324.9274363393454,2561.702473213093
22,-773.8030666666667,-325.7195333333334,2587.694266666667
23,-813.4459806279225,-327.7215230460922,2619.969120507682
24,-863.2989402805612,-328.3274768203073,2658.866450501002
25,-919.8764666666666,-329.23,2706.060133333334
26,-961.4606168336674,-330.01672558450235,2742.1075198396793
27,-1010.4860840347363,-331.70461496325987,2787.291801736807
28,-1076.4163468269874,-333.8028138944556,2851.7358109552442
29,-1119.3226000000002,-335.4912,2892.4976666666666
30,-1172.6887333333334,-337.6208,2949.2657333333336
31,-1239.2908,-340.0613333333334,3022.5418666666665
32,-1296.2238460921844,-343.16165357381436,3086.9100280561124
33,-1358.9708,-346.12013333333334,3160.544933333333
34,-1431.2336871075486,-349.3117881095525,3248.9317394789578
35,-1514.147257715431,-354.43287815631265,3358.2345437541753
