Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Trial
-35,291.58140000000003,-387.47060000000005,2762.2408,0
-34,295.15420000000006,-383.955,2734.1512000000002,0
-33,297.34760000000006,-381.79460000000006,2710.2174000000005,0
-32,298.31120000000004,-378.1712,2686.7082,0
-31,297.14959999999996,-375.70500000000004,2659.4458,0
-30,295.4182,-373.17060000000004,2633.8884000000003,0
-29,291.621,-369.6594,2607.605,0
-28,286.5368,-367.9544,2588.2648,0
-27,278.3462925851703,-365.64749498998,2557.943086172345,0
-26,269.874,-363.26180000000005,2535.3394000000003,0
-25,263.0078,-363.1386,2520.4322,0
-24,250.921,-362.2674,2496.6304000000005,0
-23,241.417,-360.21040000000005,2478.2494,0
-22,228.57780000000002,-356.6904,2456.7972,0
-21,218.944,-351.769,2440.9,0
-20,203.10180000000003,-349.64380000000006,2420.847,0
-19,192.80579999999998,-346.3394,2408.4698000000003,0
-18,179.5684,-344.20980000000003,2393.7452000000003,0
-17,162.23020000000002,-342.4234,2377.1682,0
-16,148.7596,-338.976,2365.1276000000003,0
-15,132.84920000000002,-337.47780000000006,2353.0166,0
-14,117.74629258517034,-334.8519038076153,2340.3547094188375,0
-13,102.7356,-333.9556,2331.3245999999995,0
-12,87.60761523046094,-332.14048096192386,2322.375551102204,0
-11,74.14880000000001,-330.67760000000004,2316.4746,0
-10,56.179199999999994,-330.638,2307.9584,0
-9,34.19919839679359,-329.20861723446893,2299.5819639278557,0
-8,21.579800000000002,-328.50180000000006,2294.9146,0
-7,3.4650000000000003,-326.50200000000007,2289.155,0
-6,-20.3786,-325.853,2283.5296000000008,0
-5,-34.35791583166333,-324.9761523046093,2280.1104208416837,0
-4,-51.42060000000001,-325.0192,2278.2848,0
-3,-75.54140000000001,-324.192,2276.0078,0
-2,-94.7188,-322.53540000000004,2275.3478,0
-1,-115.0446,-322.48480000000006,2275.9902,0
0,-115.38560000000001,-321.85560000000004,2275.7614000000003,0
1,-157.87860000000003,-322.1636,2279.8952,0
2,-179.3968,-322.0514,2282.4274000000005,0
3,-210.68740000000003,-321.95020000000005,2286.9528,0
4,-223.784,-323.037,2290.453,0
5,-249.80339999999998,-320.518,2295.084,0
6,-268.7102,-320.1616,2299.3564000000006,0
7,-291.61220000000003,-320.122,2306.8672,0
8,-321.6664,-320.5708,2317.128,0
9,-340.2850000000001,-320.18580000000003,2325.0106,0
10,-372.86260000000004,-320.12420000000003,2337.4780000000005,0
11,-399.16580000000005,-320.782,2349.6066,0
12,-427.174,-321.1692,2361.4448,0
13,-449.8912000000001,-320.8854,2372.469,0
14,-482.4952,-322.98420000000004,2389.9678,0
15,-514.7516,-323.53860000000003,2407.768,0
16,-549.7954,-323.10740000000004,2429.5084,0
17,-584.3728000000001,-322.96880000000004,2450.9078000000004,0
18,-618.805,-324.13259999999997,2472.3138,0
19,-656.7286000000001,-323.8202,2497.7458,0
20,-692.626,-323.6046,2521.9436,0
21,-736.3210420841683,-325.45450901803605,2553.809819639279,0
22,-768.9352,-326.2248000000001,2579.269,0
23,-807.9709418837675,-327.78456913827654,2610.480761523046,0
24,-858.1232000000001,-328.3236,2649.2466,0
25,-914.4476000000001,-329.7932,2696.9514000000004,0
26,-957.725250501002,-330.888376753507,2735.1797595190383,0
27,-1004.2559118236475,-332.21543086172346,2777.5,0
28,-1070.820240480962,-334.02084168336677,2842.016432865732,0
29,-1112.848,-336.02580000000006,2882.2684000000004,0
30,-1166.4752,-338.8836,2939.0746000000004,0
31,-1225.6926,-341.72380000000004,3004.7754,0
32,-1288.0274000000002,-346.27340000000004,3075.7958000000003,0
33,-1351.0662000000002,-348.414,3149.3836,0
34,-1439.1306613226454,-351.18216432865734,3257.6092184368736,0
35,-1514.0708,-356.41540000000003,3358.0206000000003,0
-35,292.6066,-388.4474,2788.9004000000004,1
-34,296.77340000000004,-385.8932000000001,2761.7942000000003,1
-33,299.5916,-382.07840000000004,2736.1312000000003,1
-32,300.19880000000006,-379.2976,2711.574800000001,1
-31,299.97374749499,-378.2192384769539,2685.8649298597197,1
-30,298.00741482965935,-374.6701402805611,2659.766933867736,1
-29,294.6086,-372.163,2633.6948,1
-28,289.7884,-368.3064,2611.5232,1
-27,281.567,-363.88880000000006,2578.6596,1
-26,273.1806,-362.1464,2556.906,1
-25,266.23080000000004,-360.294,2539.9638,1
-24,254.71820000000002,-357.071,2515.183,1
-23,245.11740000000003,-353.68080000000003,2495.0266,1
-22,233.2748,-350.1784,2475.6138,1
-21,220.8404,-348.18080000000003,2456.1086000000005,1
-20,206.316,-345.49240000000003,2436.4802,1
-19,195.48980000000003,-344.7004,2425.4428,1
-18,181.7816,-343.3584,2409.9724000000006,1
-17,165.6666,-340.087,2393.6836000000003,1
-16,152.20040000000003,-338.46340000000004,2381.9356000000002,1
-15,135.74749498997997,-336.6066132264529,2368.434468937876,1
-14,119.82725450901805,-334.59398797595196,2356.2727454909823,1
-13,102.56620000000001,-334.0898,2345.574,1
-12,87.75139999999999,-333.8588,2337.1634000000004,1
-11,75.2026,-332.8842,2330.8098000000005,1
-10,54.81300000000001,-331.452,2321.9284000000002,1
-9,35.6554,-329.4016,2312.739,1
-8,22.8624,-329.34659999999997,2308.4995999999996,1
-7,4.6904,-329.35540000000003,2303.1734000000006,1
-6,-20.299400000000002,-329.75360000000006,2297.8736,1
-5,-34.782,-329.57759999999996,2295.634,1
-4,-51.50160320641283,-327.9454909819639,2292.388977955912,1
-3,-74.778,-327.34680000000003,2290.607,1
-2,-95.0554,-327.36440000000005,2290.0086,1
-1,-114.93679999999999,-324.6848,2288.4246,1
0,-120.74040000000001,-323.6002000000001,2288.6292000000003,1
1,-158.56940000000003,-322.17680000000007,2291.0888,1
2,-179.718,-321.4376,2292.9764000000005,1
3,-205.4068136272545,-321.91863727454916,2296.456112224449,1
4,-224.466,-321.78959999999995,2300.0406000000003,1
5,-250.349,-319.8888,2305.5890000000004,1
6,-269.214,-319.5368,2309.9846000000002,1
7,-292.34920000000005,-319.77,2317.161,1
8,-319.913,-320.30019999999996,2326.7706000000003,1
9,-338.42159999999996,-319.3058,2333.7996000000003,1
10,-369.5956,-319.41800000000006,2345.915,1
11,-406.3158,-319.54119999999995,2362.0036,1
12,-431.15160000000003,-320.6896,2373.0938,1
13,-460.526,-321.1714,2386.7646,1
14,-484.51259999999996,-321.5432,2399.3816,1
15,-516.0496,-321.7302000000001,2416.2292,1
16,-552.4178,-321.6202,2438.2336,1
17,-586.586,-322.92040000000003,2460.095,1
18,-628.2122,-324.5,2485.384,1
19,-662.4904000000001,-323.9632,2509.8964000000005,1
20,-700.788,-324.61,2535.9202,1
21,-743.6088000000001,-325.5758000000001,2565.574,1
22,-777.6208,-327.12680000000006,2592.5174,1
23,-817.5332000000002,-328.63380000000006,2624.93,1
24,-867.3632,-329.6436,2664.277,1
25,-920.4382,-329.45660000000004,2708.1868000000004,1
26,-964.524,-329.5028,2745.6506,1
27,-1013.4322000000001,-331.2914,2790.9728,1
28,-1079.4124000000002,-333.79720000000003,2855.8244,1
29,-1120.2531999999999,-335.62980000000005,2895.409,1
30,-1174.4062,-337.8804,2953.1084000000005,1
31,-1236.1294,-339.37420000000003,3021.073,1
32,-1293.875,-341.4312,3085.3922000000002,1
33,-1358.5286,-344.8896,3161.3494,1
34,-1424.8960000000002,-348.70660000000004,3242.426,1
35,-1513.3844000000001,-354.266,3358.6674000000003,1
-35,292.59340000000003,-386.8436,2800.0368000000003,2
-34,297.6952,-381.612,2770.9682000000003,2
-33,300.08,-377.53980000000007,2743.6816,2
-32,301.3802,-375.2914,2718.8942,2
-31,300.9358,-372.34560000000005,2690.8882000000003,2
-30,299.3188,-370.601,2665.8456000000006,2
-29,295.6492,-368.27780000000007,2639.1266,2
-28,291.0710000000001,-364.82380000000006,2617.1244,2
-27,283.01680000000005,-362.7008000000001,2586.7974000000004,2
-26,274.7294,-358.78040000000004,2563.1188,2
-25,268.2768,-356.5716000000001,2545.719,2
-24,256.707,-353.9426,2519.8514000000005,2
-23,245.9402,-351.4984,2500.0954,2
-22,232.782,-348.5746,2477.1296,2
-21,223.4188,-346.61879999999996,2462.8406000000004,2
-20,207.67780000000002,-344.1812,2443.0384000000004,2
-19,195.558,-343.0152,2428.6526000000003,2
-18,183.887,-342.661,2416.4932000000003,2
-17,166.12640000000002,-341.96360000000004,2399.5246,2
-16,152.86040000000003,-341.1034,2388.6302,2
-15,135.72680000000005,-337.17859999999996,2373.69,2
-14,121.1012,-333.245,2360.919,2
-13,106.26000000000002,-332.497,2351.5272,2
-12,90.794,-331.5202,2342.2476,2
-11,77.792,-330.26619999999997,2334.6047999999996,2
-10,58.8544,-328.5964,2326.2228,2
-9,37.642,-327.28080000000006,2317.0818000000004,2
-8,23.766599999999997,-327.36,2312.5937999999996,2
-7,5.3086,-327.01019999999994,2307.261,2
-6,-18.856200000000005,-326.7088,2301.4398,2
-5,-32.8944,-325.70779999999996,2298.021,2
-4,-50.18860000000001,-324.4692,2295.0158,2
-3,-73.513,-323.8972,2292.8136,2
-2,-94.237,-323.5078,2291.9204,2
-1,-114.75931863727455,-322.6372745490982,2292.3074148296596,2
0,-117.392,-322.96659999999997,2292.2086,2
1,-157.70479999999998,-322.9116,2295.15,2
2,-187.1672,-321.76980000000003,2298.472,2
3,-210.58620000000002,-321.3386,2301.981,2
4,-224.4154,-320.2232,2303.6178,2
5,-255.30560000000003,-319.20900000000006,2310.5522,2
6,-269.31080000000003,-320.09340000000003,2314.6023999999998,2
7,-292.78040000000004,-319.80520000000007,2321.6094000000003,2
8,-322.47855711422847,-319.8046092184369,2331.6715430861727,2
9,-343.54540000000003,-319.30359999999996,2339.7967999999996,2
10,-369.93440000000004,-318.70520000000005,2349.4306000000006,2
11,-402.8398,-320.0384,2364.4434,2
12,-426.32164328657313,-319.9787575150301,2374.0094188376756,2
13,-452.5466,-319.24420000000003,2386.01,2
14,-485.24080000000004,-319.913,2402.9258,2
15,-517.154,-320.144,2420.6182000000003,2
16,-553.179,-320.1814,2441.9560000000006,2
17,-585.8732,-321.0394,2462.8296000000005,2
18,-622.2018,-322.8104,2484.1476,2
19,-662.4596000000001,-324.50880000000006,2511.6432,2
20,-702.1365999999999,-325.5318,2539.8802,2
21,-740.9996,-323.752,2565.7236000000003,2
22,-774.8532,-323.807,2591.2964,2
23,-814.8338,-326.74620000000004,2624.4966000000004,2
24,-864.4104208416835,-327.01523046092194,2663.0757515030064,2
25,-924.7436000000001,-328.4402,2713.0422000000003,2
26,-962.1326000000001,-329.659,2745.4922,2
27,-1013.7701402805612,-331.60701402805614,2793.402605210421,2
28,-1079.0164000000002,-333.59040000000005,2857.3666000000003,2
29,-1124.8666,-334.818,2899.8156,2
30,-1177.1848000000002,-336.0984,2955.6142,2
31,-1256.0503999999999,-339.086,3041.7772,2
32,-1306.7691382765531,-341.78036072144295,3099.5420841683367,2
33,-1367.3176,-345.05680000000007,3170.9018,2
34,-1429.6743999999999,-348.0466,3246.76,2
35,-1514.9865731462926,-352.61723446893785,3358.015631262525,2
