angle,c_angle,error,Trial
-35,-33,2,0
-34,-32,2,0
-33,-35,-2,0
-32,-32,0,0
-31,-29,2,0
-30,-29,1,0
-29,-29,0,0
-28,-28,0,0
-27,-27,0,0
-26,-25,1,0
-25,-26,-1,0
-24,-24,0,0
-23,-24,-1,0
-22,-22,0,0
-21,-21,0,0
-20,-20,0,0
-19,-19,0,0
-18,-18,0,0
-17,-17,0,0
-16,-15,1,0
-15,-15,0,0
-14,-15,-1,0
-13,-13,0,0
-12,-11,1,0
-11,-12,-1,0
-10,-10,0,0
-9,-9,0,0
-8,-8,0,0
-7,-7,0,0
-6,-6,0,0
-5,-5,0,0
-4,-4,0,0
-3,-3,0,0
-2,-2,0,0
-1,0,1,0
0,0,0,0
1,1,0,0
2,2,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,7,1,0
7,7,0,0
8,8,0,0
9,9,0,0
10,10,0,0
11,11,0,0
12,12,0,0
13,13,0,0
14,14,0,0
15,15,0,0
16,16,0,0
17,17,0,0
18,18,0,0
19,19,0,0
20,20,0,0
21,21,0,0
22,22,0,0
23,23,0,0
24,24,0,0
25,25,0,0
26,26,0,0
27,27,0,0
28,28,0,0
29,29,0,0
30,30,0,0
31,30,-1,0
32,32,0,0
33,33,0,0
34,34,0,0
35,35,0,0
-35,-35,0,1
-34,-33,1,1
-33,-33,0,1
-32,-31,1,1
-31,-30,1,1
-30,-30,0,1
-29,-30,-1,1
-28,-28,0,1
-27,-27,0,1
-26,-26,0,1
-25,-26,-1,1
-24,-24,0,1
-23,-23,0,1
-22,-22,0,1
-21,-21,0,1
-20,-21,-1,1
-19,-20,-1,1
-18,-18,0,1
-17,-17,0,1
-16,-16,0,1
-15,-16,-1,1
-14,-14,0,1
-13,-13,0,1
-12,-12,0,1
-11,-11,0,1
-10,-10,0,1
-9,-9,0,1
-8,-8,0,1
-7,-7,0,1
-6,-6,0,1
-5,-5,0,1
-4,-4,0,1
-3,-3,0,1
-2,-2,0,1
-1,0,1,1
0,0,0,1
1,1,0,1
2,2,0,1
3,3,0,1
4,4,0,1
5,5,0,1
6,6,0,1
7,7,0,1
8,8,0,1
9,9,0,1
10,10,0,1
11,11,0,1
12,12,0,1
13,13,0,1
14,14,0,1
15,15,0,1
16,16,0,1
17,17,0,1
18,18,0,1
19,19,0,1
20,20,0,1
21,21,0,1
22,22,0,1
23,23,0,1
24,24,0,1
25,25,0,1
26,26,0,1
27,27,0,1
28,28,0,1
29,29,0,1
30,30,0,1
31,31,0,1
32,32,0,1
33,33,0,1
34,34,0,1
35,35,0,1
-35,-34,1,2
-34,-32,2,2
-33,-32,1,2
-32,-31,1,2
-31,-30,1,2
-30,-31,-1,2
-29,-29,0,2
-28,-28,0,2
-27,-28,-1,2
-26,-25,1,2
-25,-25,0,2
-24,-24,0,2
-23,-24,-1,2
-22,-22,0,2
-21,-21,0,2
-20,-20,0,2
-19,-19,0,2
-18,-18,0,2
-17,-17,0,2
-16,-15,1,2
-15,-15,0,2
-14,-14,0,2
-13,-13,0,2
-12,-12,0,2
-11,-11,0,2
-10,-10,0,2
-9,-9,0,2
-8,-8,0,2
-7,-7,0,2
-6,-6,0,2
-5,-5,0,2
-4,-4,0,2
-3,-3,0,2
-2,-2,0,2
-1,-1,0,2
0,0,0,2
1,1,0,2
2,2,0,2
3,3,0,2
4,4,0,2
5,5,0,2
6,6,0,2
7,7,0,2
8,8,0,2
9,9,0,2
10,10,0,2
11,11,0,2
12,12,0,2
13,13,0,2
14,14,0,2
15,15,0,2
16,16,0,2
17,17,0,2
18,18,0,2
19,19,0,2
20,20,0,2
21,21,0,2
22,22,0,2
23,23,0,2
24,24,0,2
25,25,0,2
26,26,0,2
27,27,0,2
28,28,0,2
29,29,0,2
30,30,0,2
31,31,0,2
32,32,0,2
33,33,0,2
34,34,0,2
35,35,0,2
-35,-11,24,3
-34,-11,23,3
-33,-11,22,3
-32,-11,21,3
-31,-11,20,3
-30,-11,19,3
-29,-11,18,3
-28,-11,17,3
-27,-11,16,3
-26,-11,15,3
-25,-11,14,3
-24,-11,13,3
-23,-11,12,3
-22,-11,11,3
-21,-11,10,3
-20,-11,9,3
-19,-11,8,3
-18,-11,7,3
-17,-11,6,3
-16,-11,5,3
-15,-11,4,3
-14,-11,3,3
-13,-11,2,3
-12,-11,1,3
-11,-11,0,3
-10,-11,-1,3
-9,-11,-2,3
-8,-11,-3,3
-7,-11,-4,3
-6,-11,-5,3
-5,-11,-6,3
-4,-11,-7,3
-3,-11,-8,3
-2,-11,-9,3
-1,-11,-10,3
0,-11,-11,3
1,-11,-12,3
2,-11,-13,3
3,-11,-14,3
4,-11,-15,3
5,-11,-16,3
6,-11,-17,3
7,-11,-18,3
8,-11,-19,3
9,-11,-20,3
10,-11,-21,3
11,-11,-22,3
12,-11,-23,3
13,-11,-24,3
14,-11,-25,3
15,-11,-26,3
16,-11,-27,3
17,-11,-28,3
18,-11,-29,3
19,-11,-30,3
20,-11,-31,3
21,-11,-32,3
22,-11,-33,3
23,-11,-34,3
24,-11,-35,3
25,-11,-36,3
26,-11,-37,3
27,-11,-38,3
28,-11,-39,3
29,-11,-40,3
