Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Phase Difference
-35,17684.290142614667,11572.774718064948,92113.7037627035,-0.2884148800997052
-34,17546.64269403576,11399.186738173696,91243.71182213088,-0.2919736111500037
-33,17230.693677361207,11351.351063094282,90478.28461590908,-0.2921386891405051
-32,17122.08007714865,11256.747843342033,89751.59231511744,-0.2864606475598966
-31,16700.108121321467,11147.754028338199,89107.16689659005,-0.29049023780140176
-30,16431.27304580326,10936.5055279257,88542.42979877938,-0.2909001421553456
-29,16046.781108320296,10905.495470781774,87835.17230822712,-0.30278953247696333
-28,15689.375255312269,10780.219902899567,87358.74530150875,-0.3009501107382387
-27,15223.362644502116,10754.976185816346,86755.96615087143,-0.30943519555259513
-26,14709.51975030255,10638.574575454748,86104.83125023848,-0.3179029380984751
-25,14316.421522975486,10545.316329502273,85689.56371575943,-0.3206981422346171
-24,13866.803238616403,10442.212487232799,85104.37857405818,-0.33236492628634107
-23,13371.591597061639,10332.983606714328,84804.64925871778,-0.33505537121779244
-22,12846.145780878747,10302.857362201918,84364.37657288725,-0.3384655302937561
-21,12429.621105968921,10245.193169567714,84089.70950435894,-0.3500076572902116
-20,11840.130778581593,10087.356490004735,83651.8231733307,-0.35794926871673827
-19,11452.498837009582,10084.025340373477,83512.3138999912,-0.36628643399078215
-18,10956.39462010788,10054.891942526263,83202.99551231512,-0.3918089229041606
-17,10337.349298235116,10070.542143743767,82935.18846162157,-0.40498011235543324
-16,9881.479674287164,9992.735974884545,82763.67063807033,-0.419288575720941
-15,9257.055712592299,9972.744316257713,82595.31414863751,-0.4259179871381556
-14,8867.421600837153,9893.56014302413,82320.12911279027,-0.4505938606825737
-13,8318.646595084905,9883.071937409053,82256.6568359,-0.47626463227601956
-12,7849.57987680291,9796.675172730718,82026.43817936406,-0.49589178136773104
-11,7328.803503642971,9776.61515071673,82064.25984350177,-0.5184498924075411
-10,6792.911899030121,9753.902608163278,82002.72012663644,-0.5682134074302366
-9,6159.569104568002,9741.636053276568,81797.97671521912,-0.617761316996301
-8,5791.94510200099,9770.911205096309,81826.09188847242,-0.6446418335420822
-7,5228.477195180592,9658.265913890606,81802.98390230969,-0.7262510643976735
-6,4573.3392963419,9676.505888038542,81841.05921852197,-0.8244258261180663
-5,4132.248719498508,9617.644117437614,81689.14770244218,-0.9301820661121232
-4,3829.9196320700444,9617.124946897415,81841.15003462594,-1.0427777544632575
-3,3412.8764077376713,9668.406355038087,81927.83658024417,-1.2148557420746455
-2,3174.814343930448,9629.018969353809,82133.10487139867,-1.4249636261134182
-1,3067.568505818402,9594.903823854112,82348.87152124353,-1.6724339765556964
0,3028.8895808783896,9551.129470025984,82308.37282388029,-1.693704910356282
1,3409.656996128008,9674.444623430338,82788.52407756257,-2.107051424430099
2,3725.3221920895126,9616.19988595407,83064.88310015883,-2.2881140310331625
3,4399.065523152782,9594.549171203422,83443.56165050098,-2.4594860527461484
4,4764.818886864766,9754.595500836205,83617.69310552043,-2.546026160676034
5,5502.63866002295,9679.39661327244,83953.06478663765,-2.6432377317577735
6,6010.625434671019,9717.927787475004,84362.94050759201,-2.6953721346728607
7,6711.066375112195,9734.668668605982,84765.62939888127,-2.770257280447313
8,7592.9639643302,9757.280565167976,85311.3888270873,-2.825627991686931
9,8103.19208985136,9809.589099670875,85802.58098250144,-2.8553599932578435
10,9051.417858018567,9752.130793046837,86437.03108856066,-2.881587465553165
11,10192.7180356179,9897.172592574381,87133.476693291,-2.9256084263965128
12,11017.181138025606,9921.306839087787,87736.21291244472,-2.951286805496791
13,11721.258518481744,9879.000637285122,88239.13952526875,-2.978018190588536
14,12806.888716776446,9910.496603174837,88905.07556899807,-2.985231200321851
15,13794.430952006538,10066.968409617746,89740.90913060946,-3.0060547202536028
16,14830.095089758237,10131.749607746535,90649.61539647338,-3.027092338575189
17,15996.20067533618,10203.23002139493,91619.76851221728,-3.036335869724523
18,17203.460154483382,10278.115971234272,92628.36907218008,-3.052244837141528
19,18333.55789371546,10364.318198026134,93751.8078667393,-3.066432070713087
20,19711.430858420634,10451.480433763587,94968.87885549339,-3.0710368489774225
21,20979.18948397191,10601.715051248933,96042.48129436075,-3.0865042468435746
22,22114.564891677266,10713.652169259622,97160.48817327437,-3.0926810339951447
23,23363.347570987917,10711.849129163966,98539.71900960688,-3.098717245479668
24,24912.432358529724,10976.111732610407,100328.44932520659,-3.105283480060637
25,26724.671550468265,11097.082344247572,102450.32155452186,-3.1118342232148994
26,27903.37392651538,11327.445333287447,103846.70029031183,-3.118543830697188
27,29658.013885095203,11395.484489511226,105819.55379745744,-3.124469415275224
28,31442.89939739491,11679.7058715847,108353.17618431995,-3.128665399485033
29,32871.874860366755,11948.077931921229,110176.1407812898,-3.1338281281086773
30,34387.59167968327,12080.710708514549,112514.77583012043,-3.1368765904624194
31,36440.27479820583,12317.199818814486,115549.13753874927,-3.1401617960735337
32,38286.17331909499,12772.631996425858,118288.53288034296,-3.143363835261059
33,40217.08102154735,12996.628367563482,121396.70653060963,-3.149020879376556
34,41744.78351615925,13398.19427607183,124428.08206168246,-3.149831095360502
35,43834.72367461182,13850.451712117836,128621.42590224619,-3.151271044684128
