Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Phase Difference,Trial
-35,6548.173797913389,8706.371091459445,67031.6561437665,-0.7697583983674415,2.683469411499512,-0.27889355006381655,-0.49086484830362487,0
-34,6688.550161569289,8457.731387291286,66763.3259748321,-1.9577579147175619,1.4513308218713237,-1.481319222165275,-0.47643869255228743,0
-33,6479.309603953961,8622.42625344098,66579.3990489627,-0.6397140312154304,2.7827662493657406,-0.17226106614927,-0.4674529650661601,0
-32,6457.659052336235,8650.944829169013,66490.4942338137,0.6757533820331749,-2.189133442563524,1.1397161427336913,-0.46396276070051634,0
-31,6463.490583460364,8472.147110855132,66043.87321884016,1.9790154680679706,-0.882690963553188,2.4506016358760756,-0.47158616780810547,0
-30,6546.4216210291825,8548.943239917855,65962.882131952,-3.016315166014409,0.42616860708545645,-2.5188467630914,-0.4974684029230083,0
-29,6353.7748242944135,8274.204729087822,65769.695581564,-1.6960061937228472,1.7481706306096607,-1.2074286797600324,-0.4885775139628148,0
-28,6293.737247826237,8364.024992859162,65629.1792146852,-0.39349812249446126,3.0250834137928653,0.10302417158644343,-0.4965222940809051,0
-27,6141.822835190404,8292.195873072302,65380.35177380746,-0.33982226950552574,3.095738284922305,0.15750972569173144,-0.497331995197257,0
-26,5877.244738265683,8299.437524209348,65118.439348742395,2.2186239502069567,-0.620622638776266,2.724917845225757,-0.5062938950187998,0
-25,5841.746542738694,8276.7217325128,64920.19610326978,1.013295451636874,-1.810099394432913,1.5222414191410425,-0.5089459675041681,0
-24,5755.392820208856,8078.393753395518,64927.76909796745,-2.722986216918465,0.7417147723504498,-2.190178232662401,-0.5328079842560642,0
-23,5513.67641201561,8147.026255707661,64842.29139081797,-1.412993904717327,2.0581378631239553,-0.880595085041969,-0.5323988196753575,0
-22,5586.910646921014,8285.368944573898,64487.793900938574,-0.12430308815571676,-2.8999279095206454,0.42855041470074917,-0.5528535028564656,0
-21,5332.490112390141,8153.6012733185025,64416.77018512847,2.4454667200821794,-0.3343344119657456,2.9980256151223887,-0.5525588950402094,0
-20,5153.612173724274,8099.67221618848,64280.59536920479,-2.558102679711667,0.9636098835219228,-1.976665332205688,-0.5814373475059789,0
-19,4879.308438357658,8093.630326730396,64303.40222845653,1.2268869001342484,-1.4842419857762166,1.8483952232131269,-0.6215083230788787,0
-18,4849.470925264454,8184.86990401891,64208.16279442761,2.523281219684973,-0.18046268168688526,-3.124701441686561,-0.635202645808052,0
-17,4596.962245999095,8249.339096960415,63931.381344745365,-2.4433409166744355,1.123389456945689,-1.808264011141996,-0.6350769055324399,0
-16,4445.520375609935,7905.148861708385,64304.73521759019,2.5834704242802955,-0.07304598790685396,-3.0165573667032137,-0.6831575161960775,0
-15,4348.107679312847,8029.207155303794,63871.49593711792,1.3777338667910606,-1.2725885869928686,2.0669828001748662,-0.6892489333838059,0
-14,4144.755688948896,8075.495181915733,63838.62647428178,2.7065139569489705,0.050009725870725934,-2.9057527547163455,-0.6709185955142711,0
-13,3882.4555996572462,7997.522418173545,63719.004252327846,2.673114500804137,0.10102326442396974,-2.8514875293585353,-0.7585832770169141,0
-12,3649.2213373639997,8094.515298538769,63790.425936418134,-2.3478072600156765,1.4151421598874754,-1.5383875052468947,-0.8094197547687818,0
-11,3484.560532517156,8000.339082490215,63601.77548026046,-1.089350422513409,2.699496301755632,-0.2257432986678054,-0.8636071238456036,0
-10,3167.802520582347,8223.905143682587,63693.07957715722,0.2017394678570488,-2.2697590920939055,1.0818856528034007,-0.8801461849463519,0
-9,3117.2343078314116,8134.167146565016,63884.70083500848,2.733492434565846,0.30278487644484425,-2.6306197351205056,-0.9190731374932337,0
-8,3059.5980839918025,7978.4129048362865,63867.87409036209,1.4194591673509354,-0.9014534159246035,2.4474583051095524,-1.0279991377586173,0
-7,2822.4143989532745,8180.247771790886,63938.48888851446,1.4340693267212161,-0.8308951639847437,2.503858983587183,-1.069789656865967,0
-6,2701.9517613727508,7985.982106759983,63858.64131593747,-2.3831171410830914,1.719583241783517,-1.2103233290274256,-1.1727938120556658,0
-5,2476.918872017945,8093.724554608143,64120.99009316087,2.5554053305859137,0.5202976037048181,-2.4123560822052914,-1.3154238943883811,0
-4,2511.6736705860567,8028.261796644838,64287.63782633047,2.6231745562160533,0.5938778314123111,-2.3572822757567944,-1.302728475206738,0
-3,2480.4636618319773,8043.188962866201,64403.874153820114,1.2009191746086145,-0.6219334230432048,2.722075390722421,-1.5211562161138064,0
-2,2483.1802719440084,8037.7186179433465,64546.74367916861,-0.10052339571808762,-1.839000081930989,1.5194798920354766,-1.6200032877535642,0
-1,2392.8855541379758,8025.063368691552,64762.26925554169,-1.4642061973553755,-3.0346563028578752,0.3201500044829701,-1.7843562018383459,0
0,2394.9595480578,7982.644683268686,64893.72339387037,-2.7125085068962176,2.058127481579837,-0.8842230961574999,-1.8282854107387179,0
1,2596.368486284813,7969.151684524661,65351.59658732377,0.8780379490674007,-0.414032178100377,2.9407481286988606,-2.06271017963146,0
2,2779.83215156154,8076.733394592133,65455.95875007088,2.1062532425479454,0.8693192713985829,-2.032270115439197,-2.144661949192445,0
3,2906.9403146281657,8144.958741838239,65777.39347907675,-1.7163256920994705,-2.793202172001074,0.5345173734485056,-2.250843065547976,0
4,2982.811785377404,8273.462843585321,65958.61436778423,-1.7469012161676893,-2.76219280975112,0.5900504233789605,-2.33695163954665,0
5,3484.2861138710828,8235.772616512682,66256.30939040452,0.7421370362869649,-0.1969195716196953,-3.1266950516267906,-2.4143532192658306,0
6,3397.4067882717095,8065.842398512523,66568.57098773935,-3.058652374284609,2.375506382651437,-0.558264040348124,-2.5003883339364847,0
7,3717.8821849479314,8382.68893184764,66810.65378378658,0.7459755899802393,-0.08509684258962173,-3.0182451933865115,-2.5189645238128353,0
8,4128.454139623617,8445.508983294918,67081.11626823331,-3.0475040919341425,2.4797557720021977,-0.44826071168093967,-2.5992433802532027,0
9,4408.114482131046,8218.903769230055,67454.54784887575,-0.539678542562506,-1.2280070525188307,2.1166266644344347,-2.6563052069969406,0
10,4745.618831233498,8358.670828184364,68019.90691337852,-0.5482801819041012,-1.1670163606776813,2.1719231642877337,-2.720203346191835,0
11,4958.975535471781,8511.481468951946,68475.67310024293,-1.7435525828843434,-2.371374925239574,0.9686560196168726,-2.712208602501216,0
12,5457.662349242954,8388.653271272191,68829.13789612349,-2.9748375835342613,2.6913630214100093,-0.23474099419251243,-2.740096589341749,0
13,5701.286188757396,8448.36345691053,69199.4501542222,-0.4224628807198968,-1.025581335095574,2.33515456171651,-2.757617442436407,0
14,5947.107274440295,8575.81255453713,69921.43221159268,2.1166093938190684,1.5439792512476656,-1.3800847225456558,-2.7864911908148624,0
15,6484.339636059091,8749.516557758487,70546.65348278524,0.8703963124928874,0.3560791857534377,-2.582672578281563,-2.8301164164051347,0
16,6891.692695986368,8693.265456783247,71284.52571906032,-2.88125952044068,2.897278151877968,-0.011666356930052642,-2.8695931635106273,0
17,7333.281784596639,8775.844669380464,71805.99997408687,2.206352964928241,1.7035341592560613,-1.2173331730964279,-2.859499169154917,0
18,7736.974575814929,8838.839228717678,72450.91139014295,0.9819981587741149,0.5171317836765036,-2.417425425852385,-2.8837617225530874,0
19,8025.446774025912,8857.713267706064,73140.32420996622,1.0144358433978036,0.551339614950551,-2.3632625743709528,-2.905486889410829,0
20,8601.779696655534,9109.118179161005,74252.05415207274,-0.19706677469047895,-0.6540469192685573,2.717307053639859,-2.914373828330338,0
21,8790.608605280355,9133.698204997858,75200.54191598727,-1.4118610902789266,-1.8313447199687682,1.5158747486752235,-2.92773583895415,0
22,9222.637252011848,9095.57690112829,75907.29072365206,-1.3695744474908647,-1.7903114780726153,1.5722726371394489,-2.9418470846303135,0
23,9686.521089999047,9219.702043395544,76643.8389830847,-2.586027457087976,-2.988933583327537,0.36975847242596577,-2.955785929513942,0
24,10067.205898729368,9496.611106870125,77728.18836917575,-0.026662866694814005,-0.4256774111353022,2.9342147556463924,-2.9608776223412065,0
25,10666.480182916655,9654.340786769199,79112.74064473438,2.5331805864735357,2.145703336607316,-0.7782988154294591,-2.9717059052765915,0
26,10896.759028810131,9787.466847233916,79922.16908425352,1.33091180767536,0.9545121510898794,-1.9825176090481165,-2.96975589045611,0
27,11228.832572322854,9811.482086797472,81147.27463676102,2.633816724061085,2.257169841574767,-0.6724305747675852,-2.976938008350915,0
28,11427.343684005016,10158.961604725378,82387.0566425882,0.16486115321834796,-0.2002285927948772,-3.1312660688142455,-2.987058085146993,0
29,11820.928872413962,10254.99672331955,83441.0108581794,1.4769509895606243,1.0910381514856673,-1.8193291248821304,-2.986905192736831,0
30,12125.327831452241,10220.014991331254,84804.79289228284,0.2735007751442053,-0.09705401186430493,-3.0215593948109634,-2.988125137224417,0
31,12240.43152522821,10337.51365481044,86038.58560114921,-2.1852706169651697,-2.559567704964507,0.8022412292667983,-2.987511846231968,0
32,12565.917026987794,10742.646375583498,87313.50261269219,1.645773897155598,1.2631923274288808,-1.6569292597813765,-2.9804821502426115,0
33,12594.32512494499,10683.137275344021,88447.55455046865,-0.8204078746320079,-1.1904781199256165,2.167855123862729,-2.988262998494737,0
34,12818.577151607462,11035.131650711868,90087.4618551898,-2.0261136368721036,-2.3944353207912856,0.9645956020565317,-2.9907092389286354,0
35,13011.410805421387,11427.828652187549,91815.7067475351,1.8080958099975044,1.446324715081546,-1.4925211441403807,-2.9825683530417013,0
