Index,Angle,Bxs_fft_100Hz,Bys_fft_100Hz,Bzs_fft_100Hz,Bxs_phase_100Hz,Bys_phase_100Hz,Bzs_phase_100Hz,Phase Difference,Trial
0,-35,29796.02055465464,12955.344261798919,106670.70412287614,2.919419875212154,-0.20669686906610749,3.1414445785298595,-0.22202470331770563,0
1,-34,29148.80007173928,12715.551012209782,105526.4493098075,-0.7955797521900302,2.3657921430871123,-0.5722423852705859,-0.22333736691944406,0
2,-33,28348.6071851832,12519.681300044493,104511.08124675948,1.7714756298504426,-1.343857263865636,1.9949596992162875,-0.22348406936584464,0
3,-32,27884.116257630438,12350.287077182771,103125.31405182353,3.074856439505081,-0.027419659384269424,-2.978744599799988,-0.22958426787451636,0
4,-31,27166.298822675137,12127.55591751456,102254.46108993802,0.6136440293888266,-2.503996018998625,0.8455110565386388,-0.23186702714981244,0
5,-30,26509.678631985567,12168.860194126317,101160.33497203136,-1.8478987802689548,1.3235193742297253,-1.6136968340062798,-0.234201946262675,0
6,-29,25660.035880009436,12004.856793470215,100241.34032492536,-0.5415440283834961,2.638712252051083,-0.30248685850492707,-0.23905716987856884,0
7,-28,24938.838037717775,11789.421765025281,99367.9084429769,0.7653007219005404,-2.3464600396194033,1.0088738772072214,-0.2435731553066809,0
8,-27,23880.751958995243,11558.62820725699,98179.32889928298,-0.43876516958889517,2.740786164387827,-0.19405701606205333,-0.24470815352684205,0
9,-26,23285.78924025879,11491.95734043002,97334.37695142951,0.8709980990066674,-2.238099227746881,1.1182657095815165,-0.24726761057484925,0
10,-25,22449.893785765016,11273.860762775344,96730.76773371232,2.1708411868832234,-0.9296881537616266,2.4297405865861257,-0.2588993997029023,0
11,-24,21356.06751781411,11101.305467921366,96119.05571316514,0.9620739879072558,-2.114023811105602,1.2275877988938646,-0.26551381098660887,0
12,-23,20838.384218380634,11034.076740669685,95365.62675527217,-0.24613713014637859,2.952437263518707,0.0260685643565751,-0.2722056945029534,0
13,-22,19970.10970855613,11100.413846771255,94753.686621625,-2.7081744667121157,0.5055601956692005,-2.430919515531119,-0.2772549511809963,0
14,-21,19073.51717250967,10990.64682562331,94237.98473016339,-2.6627241102132495,0.5502829042319244,-2.379420253450966,-0.2833038567622834,0
15,-20,18178.17320339784,10896.636221258605,93748.0501222551,-2.6116782350355052,0.5990062787388845,-2.324046499221578,-0.2876317358139273,0
16,-19,17387.289234461958,10891.300208508817,93335.79036390629,1.2067193972014723,-1.867588940166495,1.5018463417360124,-0.29512694453454014,0
17,-18,16667.264020092585,10582.181559659623,93134.78996562473,1.2557739597400879,-1.8088042482964934,1.5574687099349327,-0.3016947501948444,0
18,-17,15476.21897898236,10577.195057022767,92757.11206081227,0.0344651091474653,-3.008385887951537,0.35601070832436743,-0.3215455991769023,0
19,-16,14846.088993060132,10572.04407102852,92248.80752730215,1.3403482041467913,-1.7074048720947568,1.665267710798526,-0.3249195066517352,0
20,-15,13880.665915706191,10436.422894806767,92081.4223429371,2.6307243110083105,-0.3693172926665826,2.9790025451095206,-0.34827823410121006,0
21,-14,13174.480535061131,10338.269953457948,91736.7126360205,-1.0986898981149102,2.1870825498510604,-0.7354977675353946,-0.3631921305795158,0
22,-13,12345.705289674228,10335.48808082724,91393.73191417103,-2.3072411181387538,0.9838314170581047,-1.9408849158812769,-0.3663562022574771,0
23,-12,11285.610233755551,10240.858381684111,91241.65148297384,1.4748802224924016,-1.4919861054438546,1.8832897921356573,-0.4084095696432559,0
24,-11,10713.889307866153,10116.187035237977,91185.20304607965,-2.2456840021154436,1.0798520886843763,-1.8308193829930013,-0.4148646191224419,0
