,angle,c_angle,error
0,-35,-35,0
1,-34,-35,-1
2,-33,-35,-2
3,-32,-35,-3
4,-31,-35,-4
5,-30,-35,-5
6,-29,-35,-6
7,-28,-34,-6
8,-27,-31,-4
9,-26,-30,-4
10,-25,-29,-4
11,-24,-26,-2
12,-23,-26,-3
13,-22,-23,-1
14,-21,-25,-4
15,-20,-21,-1
16,-19,-21,-2
17,-18,-17,1
18,-17,-17,0
19,-16,-15,1
20,-15,-13,2
21,-14,-12,2
22,-13,-11,2
23,-12,-10,2
24,-11,-9,2
25,-10,-7,3
26,-9,-6,3
27,-8,-5,3
28,-7,-5,2
29,-6,-3,3
30,-5,-2,3
31,-4,0,4
32,-3,0,3
33,-2,1,3
34,-1,2,3
35,0,2,2
36,1,3,2
37,2,3,1
38,3,6,3
39,4,6,2
40,5,7,2
41,6,8,2
42,7,8,1
43,8,10,2
44,9,10,1
45,10,10,0
46,11,10,-1
47,12,13,1
48,13,14,1
49,14,14,0
50,15,14,-1
51,16,14,-2
52,17,14,-3
53,18,14,-4
54,19,15,-4
55,20,16,-4
56,21,18,-3
57,22,18,-4
58,23,19,-4
59,24,20,-4
60,25,21,-4
61,26,23,-3
62,27,23,-4
63,28,24,-4
64,29,25,-4
65,30,26,-4
66,31,26,-5
67,32,28,-4
68,33,29,-4
69,34,29,-5
70,35,30,-5
