,angle,c_angle,error
0,-35,-35,0
1,-34,-35,-1
2,-33,-35,-2
3,-32,-35,-3
4,-31,-33,-2
5,-30,-31,-1
6,-29,-29,0
7,-28,-27,1
8,-27,-26,1
9,-26,-24,2
10,-25,-22,3
11,-24,-21,3
12,-23,-20,3
13,-22,-18,4
14,-21,-17,4
15,-20,-17,3
16,-19,-15,4
17,-18,-15,3
18,-17,-13,4
19,-16,-13,3
20,-15,-11,4
21,-14,-10,4
22,-13,-9,4
23,-12,-8,4
24,-11,-8,3
25,-10,-7,3
26,-9,-6,3
27,-8,-5,3
28,-7,-4,3
29,-6,-3,3
30,-5,-2,3
31,-4,0,4
32,-3,0,3
33,-2,1,3
34,-1,2,3
35,0,2,2
36,1,3,2
37,2,3,1
38,3,5,2
39,4,6,2
40,5,7,2
41,6,8,2
42,7,8,1
43,8,10,2
44,9,10,1
45,10,10,0
46,11,11,0
47,12,13,1
48,13,13,0
49,14,14,0
50,15,14,-1
51,16,15,-1
52,17,16,-1
53,18,17,-1
54,19,17,-2
55,20,18,-2
56,21,19,-2
57,22,19,-3
58,23,20,-3
59,24,21,-3
60,25,22,-3
61,26,22,-4
62,27,24,-3
63,28,24,-4
64,29,24,-5
65,30,26,-4
66,31,26,-5
67,32,26,-6
68,33,26,-7
69,34,27,-7
70,35,28,-7
