Index,Bzs_mean,Bys_mean,Bxs_mean,motor_positions
0,-269.72,178.85560000000004,-703.978,-1002
1,-281.182,185.218,-717.7764,-2002
2,-293.0972,190.8676,-730.422,-3001
3,-305.48760000000004,197.68319999999997,-744.3436,-3999
4,-318.0016064257028,204.03453815261042,-758.3903614457831,-5000
5,-331.584,211.16920000000002,-772.4904000000001,-6001
6,-344.80159999999995,218.5964,-787.4328,-7000
7,-359.20720000000006,225.51760000000002,-802.2872000000001,-8001
8,-374.77,232.79520000000002,-816.8996,-8998
9,-390.50440000000003,240.4644,-832.2820000000002,-10000
10,-407.25079999999997,248.28759999999997,-848.8876000000001,-11002
11,-423.44280000000003,256.6872,-863.8344000000002,-11999
12,-441.33320000000003,264.968,-880.5676,-12998
13,-458.18520000000007,273.0816,-896.6100000000001,-13998
14,-477.2196,282.97280000000006,-913.7083999999999,-14999
15,-497.0983935742972,292.21566265060244,-930.4983935742971,-16005
16,-517.924,302.3592,-947.0251999999999,-17000
17,-539.2464000000001,312.5936,-964.5460000000002,-18001
18,-561.968,323.708,-981.3936,-19000
19,-584.76,334.18880000000007,-999.3016000000001,-19999
20,-608.586,346.544,-1016.9852000000001,-21002
21,-634.0928,359.03120000000007,-1034.6864,-22002
22,-661.6896,372.65360000000004,-1052.612,-23000
23,-688.688,384.98240000000004,-1071.9104000000002,-24000
24,-716.32,398.65319999999997,-1089.1364,-25000
25,-746.4204000000001,412.36359999999996,-1107.634,-26000
26,-778.0740000000001,426.9012000000001,-1125.5728,-27002
27,-810.216,440.51480000000004,-1143.7668,-28001
28,-843.5328000000001,456.4384,-1160.5616,-28999
29,-879.098,472.43240000000003,-1179.112,-29999
30,-914.5708000000001,487.9996,-1196.0344,-31001
31,-952.4196,505.0012000000001,-1213.3264,-32001
32,-992.2968000000001,522.4692,-1230.2004,-33002
33,-1030.8232,538.34,-1245.6136000000001,-33997
34,-1073.1776,555.5176,-1260.6483999999998,-35002
35,-1112.9932000000001,572.1276,-1273.558,-36000
36,-1158.7488,592.13,-1287.2728,-37004
37,-1203.4044,610.236,-1297.5732000000003,-38000
38,-1250.4128514056224,629.7124497991969,-1309.2783132530121,-39001
39,-1302.1668,651.2176000000001,-1320.484,-40002
40,-1355.4288000000001,671.1804000000001,-1328.382,-40999
41,-1406.9751004016066,690.6012048192772,-1334.2469879518073,-42000
42,-1460.998,710.9168000000001,-1338.3172,-43001
43,-1519.9084337349398,731.9285140562249,-1341.310843373494,-44000
44,-1579.072,751.4276000000001,-1340.6448,-45001
45,-1636.1664,769.4412,-1337.3976,-45999
46,-1698.5546184738957,789.7072289156628,-1331.0088353413653,-46997
47,-1763.3704000000002,809.0764,-1320.5764000000001,-48000
48,-1825.758,826.3728000000001,-1307.6316000000002,-49000
49,-1888.2643999999998,842.4548000000001,-1290.41,-49995
50,-1955.128514056225,857.7570281124498,-1268.8433734939758,-50998
51,-2017.9368,870.9844000000002,-1243.0043999999998,-52002
52,-2078.3048000000003,881.6456000000001,-1213.9116000000001,-53000
53,-2142.8704000000002,890.2432000000001,-1176.1771999999999,-54001
54,-2202.1164000000003,897.0808000000001,-1136.322,-55002
55,-2255.6732,900.02,-1095.4944,-55999
56,-2306.5768,899.9055999999999,-1047.2087999999999,-56997
57,-2357.0536,899.4084,-996.9828,-57999
58,-2403.4252,894.2428000000001,-942.062,-58998
59,-2440.2444000000005,887.1676000000001,-890.5556000000001,-59999
60,-2477.75,877.0344,-830.4296,-61002
61,-2507.736,865.4844,-772.2968000000001,-61999
62,-2533.8543999999997,851.9148,-717.3408000000001,-62999
63,-2555.3352,836.7171999999999,-658.284,-64009
64,-2572.3104000000003,819.7772,-601.546,-65000
65,-2584.8196000000003,803.0307999999999,-546.7088,-66001
66,-2592.9024,786.2360000000001,-495.51480000000004,-66998
67,-2596.2728,767.4744000000001,-443.6212,-68000
68,-2598.6972,748.8624,-394.89560000000006,-69000
69,-2598.0812,732.776,-352.066,-70002
70,-2596.4859437751006,713.8558232931728,-307.95140562249,-70999
71,-2591.3272,698.4164000000001,-269.28,-72000
72,-2585.9988,682.7084,-232.3376,-72999
73,-2579.2668000000003,668.8264,-198.726,-74000
74,-2572.8076,655.1071999999999,-165.85359999999997,-74999
75,-2564.608032128514,644.2200803212852,-137.64578313253014,-75998
76,-2556.422,632.6012000000001,-109.3972,-77000
77,-2548.7044,623.5064,-82.9708,-77998
78,-2543.3276,616.3915999999999,-59.0392,-79000
79,-2538.8968000000004,608.6696000000001,-36.6036,-80002
80,-2534.0656,603.02,-14.5684,-80998
81,-2529.6744000000003,599.1656,7.194,-82002
82,-2527.203614457831,596.2751004016064,26.81967871485944,-83001
83,-2525.82,595.7995999999999,46.508,-83999
84,-2527.1047999999996,594.9812,67.386,-85000
85,-2525.7672000000002,597.1108,87.318,-86002
86,-2527.756,600.0412000000001,107.8704,-87002
87,-2532.4464000000003,604.0628,130.15200000000002,-87999
88,-2537.3084000000003,611.0984000000001,152.53920000000002,-89000
89,-2541.858,617.3728000000001,176.62920000000003,-89999
90,-2548.328915662651,626.2887550200803,202.0819277108434,-90999
91,-2554.7412000000004,635.0168000000001,229.8428,-91999
92,-2560.7248995983937,644.3614457831326,259.06546184738954,-92998
93,-2567.7124000000003,656.8584000000001,291.104,-93998
94,-2572.246184738956,670.262248995984,326.5939759036145,-95009
95,-2576.596,682.902,362.65680000000003,-95998
96,-2579.786,697.0788,402.2436,-97000
97,-2582.128514056225,711.0947791164659,446.7722891566265,-97999
98,-2580.864,726.4048,491.98159999999996,-98999
99,-2579.3636,741.4792,540.9535999999999,-100000
100,-2572.4028,756.6416,593.1683999999999,-100997
101,-2562.0496000000003,771.5576,648.7448,-102000
102,-2547.1555999999996,784.4848000000001,705.5488,-102999
103,-2526.5020000000004,795.4188,761.9656000000001,-103996
104,-2504.9595999999997,806.1636,819.1436000000001,-104999
105,-2475.8448,814.7524000000002,878.7108000000001,-106007
106,-2442.6028000000006,820.754,936.7203999999999,-106998
107,-2403.9752000000003,824.0496,993.6740000000001,-107999
108,-2361.1675999999998,825.4444,1048.8587999999997,-109000
109,-2313.8588,824.0188,1099.8108,-109997
110,-2262.0708000000004,820.4152,1147.4056,-111000
111,-2205.3592000000003,812.2796000000001,1191.7092000000002,-112006
112,-2146.2936,802.2168,1231.7931999999998,-113007
113,-2085.630923694779,790.9132530120481,1267.9156626506024,-114007
114,-2025.2276000000002,778.5052000000001,1297.1684,-115001
115,-1962.2812000000001,762.4144,1324.554,-116001
116,-1897.893172690763,744.7706827309237,1346.567871485944,-117001
117,-1835.6052,727.6852000000001,1363.2168,-118001
118,-1771.3476,708.6596,1377.4992000000002,-119008
119,-1706.5752,688.0763999999999,1386.2992000000002,-119998
120,-1644.434,667.1852,1391.5307999999998,-121001
121,-1583.1992000000002,645.3128,1393.7572000000002,-122000
122,-1523.6583999999998,624.6504,1393.4756,-123002
123,-1466.8763999999999,602.9232000000001,1388.9832000000001,-123999
124,-1409.4036,581.0464000000001,1383.8748000000003,-124998
125,-1354.3376,561.6204,1376.1792000000003,-126001
126,-1302.092,541.4156,1366.64,-126999
127,-1252.2550200803212,521.8594377510041,1355.7080321285143,-128001
128,-1203.7212,502.62520000000006,1343.1308000000001,-128999
129,-1155.5104,483.62160000000006,1330.1375999999998,-130007
130,-1110.2872000000002,465.92040000000003,1316.0752,-131001
131,-1067.572,448.6064,1301.74,-132000
132,-1023.8799999999999,430.8612,1285.0112000000001,-132999
133,-984.1480000000001,413.96080000000006,1268.2076000000002,-133999
134,-945.3285140562249,397.2104417670683,1252.1357429718878,-134999
135,-906.4748000000001,382.54480000000007,1233.1132000000002,-135998
136,-870.76,366.608,1215.742,-136999
137,-836.1672,352.76559999999995,1197.9704,-137999
138,-801.504,337.4404,1178.7688000000003,-139008
139,-769.0144,323.2504,1160.1524,-140000
140,-738.5004,310.0152,1141.5184000000002,-140998
141,-708.4704,297.82280000000003,1122.7612,-142002
142,-679.5888,285.02320000000003,1103.1196,-142999
143,-652.4276000000001,273.37200000000007,1084.8508,-144000
144,-624.778,261.00360000000006,1065.768,-145004
145,-599.28,250.09159999999997,1047.86,-145999
146,-574.5387999999999,239.8528,1028.7376,-146999
147,-550.902,230.85479999999998,1010.7196,-147999
148,-528.1408,220.308,993.2296,-149007
149,-505.85920000000004,210.584,973.7023999999999,-150000
150,-484.63360000000006,201.49360000000001,955.7724,-151002
151,-463.4696,193.1996,937.9348,-152001
152,-444.4528,184.2236,920.3612,-153000
153,-425.2864,175.6656,902.1628000000001,-153999
154,-407.69520000000006,167.6532,886.556,-155001
155,-389.5364,158.63320000000002,869.6072,-156001
156,-372.218,149.51640000000003,851.818,-157001
