Index,x,y,z,motor_positions
0,-132.0,1590.6000000000001,1267.2,902
1,-134.20000000000002,1598.3,1261.7,902
2,-145.20000000000002,1598.3,1265.0,902
3,-133.10000000000002,1599.4,1263.9,902
4,-136.4,1595.0,1257.3,902
5,-129.8,1598.3,1267.2,902
6,-147.4,1593.9,1260.6,902
7,-143.0,1595.0,1255.1000000000001,902
8,-136.4,1585.1000000000001,1258.4,902
9,-137.5,1600.5000000000002,1259.5,902
10,-143.0,1593.9,1272.7,902
11,-132.0,1598.3,1249.6,902
12,-130.9,1595.0,1261.7,902
13,-136.4,1599.4,1266.1000000000001,902
14,-141.9,1591.7,1245.2,902
15,-133.10000000000002,1591.7,1261.7,902
16,-132.0,1584.0000000000002,1262.8000000000002,902
17,-132.0,1584.0000000000002,1265.0,902
18,-130.9,1586.2,1262.8000000000002,902
19,-151.8,1598.3,1271.6000000000001,902
20,-139.70000000000002,1591.7,1268.3,902
21,-136.4,1600.5000000000002,1254.0000000000002,902
22,-135.3,1606.0,1257.3,902
23,-134.20000000000002,1599.4,1254.0000000000002,902
24,-135.3,1597.2,1257.3,902
25,-139.70000000000002,1591.7,1269.4,902
26,-136.4,1596.1000000000001,1259.5,902
27,-146.3,1593.9,1265.0,902
28,-135.3,1602.7,1269.4,902
29,-135.3,1601.6000000000001,1255.1000000000001,902
30,-140.8,1592.8000000000002,1260.6,902
31,-137.5,1598.3,1258.4,902
32,-137.5,1596.1000000000001,1262.8000000000002,902
33,-138.6,1600.5000000000002,1260.6,902
34,-143.0,1601.6000000000001,1252.9,902
35,-143.0,1597.2,1258.4,902
36,-140.8,1593.9,1257.3,902
37,-139.70000000000002,1597.2,1265.0,902
38,-137.5,1601.6000000000001,1263.9,902
39,-143.0,1597.2,1258.4,902
40,-141.9,1596.1000000000001,1252.9,902
41,-140.8,1602.7,1268.3,902
42,-134.20000000000002,1596.1000000000001,1257.3,902
43,-126.50000000000001,1591.7,1263.9,902
44,-141.9,1587.3,1260.6,902
45,-143.0,1593.9,1260.6,902
46,-147.4,1592.8000000000002,1261.7,902
47,-136.4,1593.9,1268.3,902
48,-137.5,1592.8000000000002,1266.1000000000001,902
49,-140.8,1586.2,1269.4,902
50,-148.5,1596.1000000000001,1246.3000000000002,902
51,-139.70000000000002,1587.3,1267.2,902
52,-135.3,1593.9,1261.7,902
53,-136.4,1597.2,1267.2,902
54,-143.0,1599.4,1251.8,902
55,-132.0,1595.0,1265.0,902
56,-143.0,1596.1000000000001,1278.2000000000003,902
57,-136.4,1584.0000000000002,1254.0000000000002,902
58,-137.5,1600.5000000000002,1263.9,902
59,-137.5,1595.0,1269.4,902
60,-138.6,1597.2,1263.9,902
61,-144.1,1588.4,1262.8000000000002,902
62,-144.1,1599.4,1267.2,902
63,-136.4,1600.5000000000002,1257.3,902
64,-133.10000000000002,1599.4,1266.1000000000001,902
65,-126.50000000000001,1590.6000000000001,1265.0,902
66,-138.6,1595.0,1257.3,902
67,-132.0,1597.2,1262.8000000000002,902
68,-127.60000000000001,1587.3,1259.5,902
69,-138.6,1596.1000000000001,1262.8000000000002,902
70,-139.70000000000002,1596.1000000000001,1263.9,902
71,-139.70000000000002,1602.7,1261.7,902
72,-141.9,1598.3,1261.7,902
73,-136.4,1597.2,1260.6,902
74,-145.20000000000002,1599.4,1260.6,902
75,-140.8,1601.6000000000001,1259.5,902
76,-136.4,1593.9,1261.7,902
77,-132.0,1589.5,1259.5,902
78,-135.3,1603.8,1259.5,902
79,-136.4,1593.9,1249.6,902
80,-136.4,1595.0,1263.9,902
81,-135.3,1592.8000000000002,1266.1000000000001,902
82,-138.6,1592.8000000000002,1268.3,902
83,-130.9,1590.6000000000001,1261.7,902
84,-144.1,1603.8,1268.3,902
85,-137.5,1588.4,1266.1000000000001,902
86,-141.9,1590.6000000000001,1259.5,902
87,-133.10000000000002,1595.0,1265.0,902
88,-140.8,1596.1000000000001,1259.5,902
89,-143.0,1599.4,1257.3,902
90,-146.3,1596.1000000000001,1257.3,902
91,-149.6,1596.1000000000001,1260.6,902
92,-144.1,1597.2,1256.2,902
93,-135.3,1595.0,1270.5000000000002,902
