Index,angle,c_angle,error,by,bz
0,-35,16.795160046277456,51.79516004627746,14642.650661269769,49137.1700354224
1,-34,16.079560330053642,50.07956033005364,14379.464421883276,48747.66379170265
2,-33,15.666546384986262,48.66654638498626,13921.794895390118,48479.51646268283
3,-32,15.192144957632046,47.192144957632046,13585.71102643911,48159.63438872639
4,-31,13.91902119377429,44.91902119377429,13220.209823902142,47673.49591421204
5,-30,13.173294630618795,43.1732946306188,12928.629755566884,47237.3983811173
6,-29,12.256774624187537,41.256774624187535,12471.062072129787,46824.77840451391
7,-28,11.60414597955563,39.60414597955563,12358.421679723617,46561.59215380047
8,-27,10.189372871955818,37.18937287195582,11865.369721152514,46057.71299489904
9,-26,17.43870540289992,43.43870540289992,12611.558756814127,49603.43179719632
10,-25,8.291375237866239,33.29137523786624,11408.385755818144,45502.53631384192
11,-24,16.967437763339856,40.96743776333986,12027.854003622931,49230.94242243232
12,-23,5.9999998256375555,28.999999825637556,10833.13457981779,45033.83769032074
13,-22,-21.999999942348236,5.7651764251431814e-08,10668.935206631932,44705.74381083816
14,-21,-20.999999518445296,4.815547036685075e-07,10405.186934688008,44437.42632368733
15,-20,-19.99999934502991,6.54970090607776e-07,10149.518714729324,44351.337342710205
16,-19,-19.000000444128727,-4.441287266843119e-07,9949.652572754643,44142.776386303645
17,-18,-18.00000134736837,-1.3473683715403695e-06,9805.425046193188,44024.04348910963
18,-17,-16.99999957639586,4.2360413843312017e-07,9573.82060780954,43872.1987048849
19,-16,-16.000001757949796,-1.7579497963993163e-06,9463.669895711884,43636.08599764997
20,-15,13.358252449389733,28.35825244938973,10078.190296155562,47345.56266038651
21,-14,-13.999997249209677,2.750790322636476e-06,9170.912664407868,43340.33731194843
22,-13,-12.999998919991025,1.0800089746965114e-06,8952.14663813439,43345.632636113536
23,-12,-12.00000054805012,-5.48050120841026e-07,8933.372768445508,43290.32036558906
24,-11,-10.999999921729254,7.827074632871245e-08,8738.627239906846,43218.92495939257
25,-10,-9.999999837082006,1.6291799376233485e-07,8557.133907404132,43074.96154859277
26,-9,-8.999996951019943,3.048980056874484e-06,8411.962790148145,42964.89361487788
27,-8,-8.000000484506089,-4.845060885827479e-07,8355.585001967109,42982.94536568045
28,-7,-7.0000008187043345,-8.1870433454867e-07,8194.522485712347,43074.07736598253
29,-6,-6.000000173477302,-1.734773018569058e-07,8086.627873462226,42938.10557646674
30,-5,-5.000001158641504,-1.1586415036290987e-06,8072.268619359844,42998.21321465248
31,-4,-4.000001214243786,-1.2142437864071098e-06,7987.730270283048,43003.983014267375
32,-3,-2.999998755681644,1.2443183559085469e-06,7831.780515621565,43194.31559378085
33,-2,-2.0000014698009556,-1.4698009556113334e-06,7646.178233454006,43222.43044401455
34,-1,-0.9999992897727575,7.102272424619471e-07,7589.034514569116,43474.76826370776
